Game,February,Opponent,Score,Record
50.0,2.0,New York Islanders,4 - 4 OT,33-13-4
51.0,3.0,@ Boston Bruins,3 - 0,34-13-4
52.0,7.0,Washington Capitals,4 - 1,34-14-4
53.0,9.0,@ Montreal Canadiens,4 - 3,34-15-4
54.0,12.0,@ Ottawa Senators,4 - 3,35-15-4
55.0,14.0,@ Quebec Nordiques,4 - 2,36-15-4
56.0,18.0,Ottawa Senators,3 - 0,37-15-4
57.0,19.0,@ Hartford Whalers,4 - 2,37-16-4
58.0,21.0,Pittsburgh Penguins,4 - 3,38-16-4
59.0,23.0,Boston Bruins,6 - 3,38-17-4
60.0,24.0,@ New Jersey Devils,3 - 1,39-17-4
61.0,26.0,@ Dallas Stars,3 - 1,39-18-4
62.0,28.0,Philadelphia Flyers,4 - 1,40-18-4
