Title,Year,Platform(s),Director,Producer
Metroid Prime 1,2002.0,GCN,Mark Pacini,"Kensuke Tanabe , Shigeru Miyamoto"
Mario vs. Donkey Kong 5,2004.0,NDS,Yukimi Shimura,Kensuke Tanabe
Metroid Prime 2: Echoes 1,2004.0,GCN,Mark Pacini,"Kensuke Tanabe , Kenji Miki"
Battalion Wars 2,2005.0,GCN,Mat Hart,Kensuke Tanabe
Super Mario Strikers 3,2005.0,GCN,Mike Inglehart,Kensuke Tanabe
Geist 4,2005.0,GCN,Dan O'Leary,"Kensuke Tanabe, Hideki Konno"
Metroid Prime Hunters 5,2006.0,NDS,Masamichi Abe,Kensuke Tanabe
Mario vs. Donkey Kong 2: March of the Minis 5,2006.0,NDS,Yukimi Shimura,Kensuke Tanabe
Excite Truck 6,2006.0,Wii,Richard Garcia,"Kensuke Tanabe, Keisuke Terasaki"
Super Paper Mario 7,2007.0,Wii,Ryota Kawade,Kensuke Tanabe
Metroid Prime 3: Corruption 1,2007.0,Wii,Mark Pacini,Kensuke Tanabe
Battalion Wars 2 2,2007.0,Wii,Tancred Dyke-Wells,Kensuke Tanabe
Mario Strikers Charged 3,2007.0,Wii,Mike Inglehart,Kensuke Tanabe
Punch-Out!! 3,2009.0,Wii,Mike Inglehart,Kensuke Tanabe
Mario vs. Donkey Kong: Minis March Again! 5,2009.0,NDS,Yukimi Shimura,Kensuke Tanabe
Excitebots: Trick Racing 6,2009.0,Wii,Richard Garcia,Kensuke Tanabe
Eco Shooter: Plant 530 7,2009.0,Wii,Atsushi Ikuno,Kensuke Tanabe
Mario vs. Donkey Kong: Mini-Land Mayhem! 5,2010.0,NDS,Yukimi Shimura,Kensuke Tanabe
Fluidity 8,2010.0,WiiWare,Jonathan Biddle,Kensuke Tanabe
Donkey Kong Country Returns 1,2010.0,Wii,Bryan Walker,Kensuke Tanabe
Pilotwings Resort 6,2011.0,3DS,Richard Garcia,Kensuke Tanabe
Paper Mario: Sticker Star 7,2012.0,3DS,Naohiko Aoyama,Kensuke Tanabe
Fluidity: Spin Cycle 8,2012.0,3DS,Jonathan Biddle,Kensuke Tanabe
Luigi's Mansion: Dark Moon 3,2013.0,3DS,Bryce Holiday,Shigeru Miyamoto
Lego City Undercover 9,2013.0,Wii U,Erin Roberts,Masakazu Miyazaki
Mario and Donkey Kong: Minis on the Move 5,2013.0,3DS,Yukimi Shimura,Kensuke Tanabe
Donkey Kong Country: Tropical Freeze 1,2013.0,Wii U,Bryan Walker,Kensuke Tanabe
