Date,Opponent,Score,Loss,Save,Attendance,Record
May 1,Diamondbacks,4–6,Vicente Padilla (0–4),Matt Mantei (4),44048.0,10–12
May 2,Diamondbacks,6–5 (14),Óscar Villarreal (0–2),None,43025.0,11–12
May 4,Cardinals,5–6,Brett Myers (0–2),Jason Isringhausen (3),33294.0,11–13
May 5,Cardinals,5–4,Woody Williams (0–3),Billy Wagner (7),35944.0,12–13
May 6,Cardinals,4–7,Randy Wolf (2–2),Jason Isringhausen (4),44376.0,12–14
May 7,@ Diamondbacks,4–1,Randy Johnson (3–3),Billy Wagner (8),30738.0,13–14
May 8,@ Diamondbacks,8–7,Brandon Webb (2–2),Tim Worrell (1),38907.0,14–14
May 9,@ Diamondbacks,7–1,Steve Sparks (2–2),None,29637.0,15–14
May 11,@ Giants,10–4,Jerome Williams (3–2),None,35759.0,16–14
May 12,@ Giants,3–4,Randy Wolf (2–3),Matt Herges (11),35849.0,16–15
May 13,@ Giants,4–3,Kirk Rueter (1–4),Ryan Madson (1),39651.0,17–15
May 14,@ Rockies,6–4,Joe Kennedy (4–1),Tim Worrell (2),32171.0,18–15
May 15,@ Rockies,16–5,Scott Elarton (0–6),None,33629.0,19–15
May 16,@ Rockies,6–7,Rheal Cormier (2–3),Shawn Chacón (10),33623.0,19–16
May 17,@ Rockies,6–7,Tim Worrell (0–1),None,22111.0,19–17
May 18,Dodgers,8–7,Guillermo Mota (2–1),Tim Worrell (3),36073.0,20–17
May 19,Dodgers,9–4,Hideo Nomo (3–5),None,33916.0,21–17
May 20,Dodgers,4–0,Kazuhisa Ishii (5–3),None,37793.0,22–17
May 21,Padres,5–4,Akinori Otsuka (3–2),Tim Worrell (4),40555.0,23–17
May 22,Padres,6–9,Roberto Hernández (0–1),None,43634.0,23–18
May 23,Padres,6–4,Brian Lawrence (6–3),Tim Worrell (5),44216.0,24–18
May 25,@ Mets,0–5,Eric Milton (5–1),None,29385.0,24–19
May 26,@ Mets,7–4,John Franco (0–3),Tim Worrell (6),20349.0,25–19
May 27,Braves,1–6,Kevin Millwood (4–3),None,38802.0,25–20
May 28,Braves,3–2 (10),Antonio Alfonseca (5–1),None,40187.0,26–20
May 29,Braves,3–9,Vicente Padilla (4–5),None,44057.0,26–21
May 30,Braves,4–1,Travis Smith (0–1),Tim Worrell (7),44304.0,27–21
May 31,Mets,3–5,Brett Myers (3–3),Braden Looper (8),43620.0,27–22
