Rank,Name,Headquarters,Primary industry,Market value ( USD million)
1.0,General Electric,United States,Conglomerate,222748.0
2.0,Royal Dutch Shell,The Netherlands,Oil and gas,191002.0
3.0,Microsoft,United States,Software industry,159660.0
4.0,Exxon Mobil,United States,Oil and gas,157970.0
5.0,The Coca-Cola Company,United States,Beverage,151288.0
6.0,Intel Corporation,United States,Computer hardware,150838.0
7.0,Nippon Telegraph and Telephone,Japan,Telecommunications,146139.0
8.0,Merck,United States,Health care,120757.0
9.0,Toyota Motor Corporation,Japan,Automotive,116585.0
10.0,Novartis,Switzerland,Health care,104468.0
