Round,Pick #,Player,Position,Nationality,College/junior/club team (league)
1.0,26,Stefan Bergqvist,Defense,Sweden,Leksands IF ( SEL )
2.0,52,Domenic Pittis,Center,Canada,Lethbridge Hurricanes ( WHL )
3.0,62 [a ],Dave Roche,Left Wing,Canada,Peterborough Petes ( OHL )
4.0,104,Jonas Andersson-Junkka,Defense,Sweden,Kiruna (Sweden)
5.0,130,Chris Kelleher,Defense,United States,Saint Sebastian's (Mass. H.S.)
6.0,156,Patrick Lalime,Goaltender,Canada,Shawinigan Cataractes ( QMJHL )
7.0,182,Sean Selmser,Left Wing,Canada,Red Deer Rebels (WHL)
8.0,208,Larry Mcmorran,Center,Canada,Seattle Thunderbirds (WHL)
9.0,234,Timothy Harberts,Center,United States,Wayzata H.S. (Minn)
10.0,260,Leonid Toropchenko,Center,Russia,Springfield Indians ( AHL )
11.0,286,Hans Jonsson,Defense,Sweden,Modo Hockey Ornskoldsvik (SEL)
