Round,Player,Position,Nationality,College/Junior/Club Team (League)
1.0,Ron Sutter,Center,Canada,Lethbridge Broncos ( WHL )
3.0,Miroslav Dvorak,Defense,Czech Republic,HC České Budějovice (CZE)
3.0,Bill Campbell,Defense,Canada,Montreal Juniors ( QMJHL )
4.0,Michael Hjalm,Wing,Sweden,Modo Hockey ( Elitserien )
5.0,Todd Bergen,Forward,Canada,Prince Albert Raiders ( SJHL )
6.0,Ron Hextall,Goaltender,Canada,Brandon Wheat Kings (WHL)
7.0,Dave Brown,Forward,Canada,Saskatoon Blades (WHL)
8.0,Alain Lavigne,Right Wing,Canada,Shawinigan Cataractes (QMJHL)
9.0,Magnus Roupe,Left Wing,Sweden,Färjestad BK (Elitserien)
10.0,Tom Allen,Goaltender,United States,Michigan Tech Huskies ( WCHA )
11.0,Rick Gal,Forward,Canada,Lethbridge Broncos (WHL)
12.0,Mark Vichorek,Defense,United States,Sioux City Musketeers ( USHL )
