Year,Manufacturer,Start,Finish,Team
1986.0,Pontiac,DNQ,DNQ,Dick Bahre
1987.0,Chevrolet,18,22,Bahari
1988.0,Pontiac,DNQ,DNQ,Bahari
1988.0,Pontiac,24,22,Mueller
1989.0,Pontiac,23,21,Bahari
1990.0,Pontiac,24,8,Bahari
1991.0,Pontiac,13,38,Bahari
1992.0,Pontiac,10,18,Bahari
1993.0,Pontiac,28,16,Bahari
1994.0,Pontiac,14,31,Bahari
1995.0,Pontiac,15,6,Bahari
1996.0,Ford,11,10,Wood
1997.0,Ford,12,32,Wood
1998.0,Ford,6,9,Wood
1999.0,Chevrolet,13,5,Mattei
2000.0,Chevrolet,10,39,Ultra
2001.0,Chevrolet,19,1,DEI
2002.0,Chevrolet,4,5,DEI
2003.0,Chevrolet,4,1,DEI
2004.0,Chevrolet,9,38,DEI
2005.0,Chevrolet,3,37,DEI
2006.0,Dodge,30,18,Davis
2007.0,Toyota,15,30,M. Waltrip
2008.0,Toyota,2,29,M. Waltrip
2009.0,Toyota,27,7,M. Waltrip
2010.0,Toyota,43,18,M. Waltrip
2011.0,Toyota,8,40,M. Waltrip
2012.0,Toyota,DNQ,DNQ,Hillman
2013.0,Toyota,29,22,Swan
