Player,Touchdowns,Extra points,Field goals,Points
Willie Heston,20.0,0.0,0.0,100.0
Tom Hammond,6.0,42.0,4.0,88.0
Joe Curtis,11.0,31.0,0.0,86.0
Fred Norcross,10.0,0.0,0.0,50.0
Harry Hammond,10.0,0.0,0.0,50.0
Wm. Clark,10.0,0.0,0.0,50.0
Charles Carter,6.0,0.0,0.0,30.0
Harold Weeks,5.0,0.0,0.0,25.0
Harry Patrick,4.0,0.0,0.0,20.0
Paul Magoffin,3.0,3.0,0.0,18.0
Frank Longman,3.0,0.0,0.0,15.0
Walter Rheinschild,2.0,0.0,0.0,10.0
Henry Schulte,2.0,0.0,0.0,10.0
Walter Graham,1.0,0.0,0.0,5.0
Walter Becker,1.0,0.0,0.0,5.0
Ted Stuart,1.0,0.0,0.0,5.0
