Game,November,Opponent,Score,Record,Points
13.0,2.0,@ Florida Panthers,4–3,10–3–0,20.0
14.0,4.0,Quebec Nordiques,4–1,11–3–0,22.0
15.0,6.0,@ Toronto Maple Leafs,3–5,11–4–0,22.0
16.0,7.0,Vancouver Canucks,2–5,11–5–0,22.0
17.0,10.0,@ Buffalo Sabres,5–3,12–5–0,24.0
18.0,11.0,New Jersey Devils,3–5,12–6–0,24.0
19.0,13.0,Buffalo Sabres,2–7,12–7–0,24.0
20.0,16.0,@ Pittsburgh Penguins,5–11,12–8–0,24.0
21.0,18.0,Hartford Whalers,6–3,13–8–0,26.0
22.0,20.0,@ Boston Bruins,5–5 OT,13–8–1,27.0
23.0,21.0,New York Islanders,4–5 OT,13–9–1,27.0
24.0,24.0,Montreal Canadiens,9–2,14–9–1,29.0
25.0,26.0,Tampa Bay Lightning,3–0,15–9–1,31.0
26.0,27.0,@ Tampa Bay Lightning,4–3 OT,16–9–1,33.0
