Game,December,Opponent,Score,Record,Points
23.0,1.0,@ Ottawa Senators,1–4,14–3–5–1,34.0
24.0,3.0,Pittsburgh Penguins,5–2,15–3–5–1,36.0
25.0,5.0,Phoenix Coyotes,3–2,16–3–5–1,38.0
26.0,6.0,@ Boston Bruins,1–1 OT,16–3–6–1,39.0
27.0,8.0,@ Montreal Canadiens,3–2,17–3–6–1,41.0
28.0,10.0,@ Columbus Blue Jackets,1–1 OT,17–3–7–1,42.0
29.0,12.0,@ New Jersey Devils,3–3 OT,17–3–8–1,43.0
30.0,13.0,New Jersey Devils,0–2,17–4–8–1,43.0
31.0,16.0,Calgary Flames,2–3 OT,17–4–8–2,44.0
32.0,18.0,Tampa Bay Lightning,4–5 OT,17–4–8–3,45.0
33.0,20.0,New York Islanders,3–1,18–4–8–3,47.0
34.0,21.0,@ Atlanta Thrashers,1–4,18–5–8–3,47.0
35.0,23.0,@ New York Islanders,2–4,18–6–8–3,47.0
36.0,27.0,@ Colorado Avalanche,2–3 OT,18–6–8–4,48.0
37.0,29.0,@ Dallas Stars,2–2 OT,18–6–9–4,49.0
38.0,30.0,@ St. Louis Blues,7–2,19–6–9–4,51.0
