Date,Tournament,Surface,Partner,Opponent in the final,Score in the final
1988.0,"Gstaad , Switzerland",Clay,Milan Šrejber,Andrés Gómez Emilio Sánchez,"7–6, 7–6"
1988.0,"Prague , Czechoslovakia",Clay,Jaroslav Navrátil,Thomas Muster Horst Skoff,"7–5, 7–6"
1989.0,"Stuttgart , Germany",Clay,Tomáš Šmíd,Florin Segărceanu Cyril Suk,"6–7, 6–3, 6–1"
1990.0,"Monte Carlo , Monaco",Clay,Tomáš Šmíd,Andrés Gómez Javier Sánchez,"6–2, 6–1"
1991.0,"New Haven , USA",Hard,Wally Masur,Jeff Brown Scott Melville,W/O
1991.0,"Berlin , Germany",Carpet,Karel Nováček,Jan Siemerink Daniel Vacek,"3–6, 7–5, 7–5"
1993.0,"Monte Carlo, Monaco",Clay,Stefan Edberg,Paul Haarhuis Mark Koevermans,"6–2, 2–6, 7–5"
1993.0,"Halle , Germany",Grass,Cyril Suk,Mike Bauer Marc-Kevin Goellner,"7–6, 5–7, 6–3"
1993.0,"Cincinnati , USA",Hard,Andre Agassi,Stefan Edberg Henrik Holm,"6–4, 7–6"
1996.0,"Australian Open, Melbourne , Australia",Hard,Stefan Edberg,Sébastien Lareau Alex O'Brien,"7–5, 7–5, 4–6, 6–1"
