Number,Builder,Type,Date,Works number
702.0,Baldwin Locomotive Works,4-6-4,1930.0,61371.0
801.0,ALCO Manchester,0-6-0,1902.0,26346.0
802.0,ALCO Manchester,0-6-0,1902.0,26347.0
803.0,Schenectady Locomotive Works,0-6-0,1900.0,5565.0
804.0,Manchester Locomotive Works,0-6-0,1899.0,1712.0
805.0,Baldwin Locomotive Works,0-6-0,1903.0,21454.0
806.0,Baldwin Locomotive Works,0-6-0,1903.0,21515.0
807.0,ALCO Brooks,0-6-0,1904.0,30327.0
808.0,ALCO Brooks,0-6-0,1904.0,30328.0
809.0,ALCO Manchester,0-6-0,1906.0,40580.0
810.0,ALCO Manchester,0-6-0,1906.0,40581.0
811.0,ALCO Manchester,0-6-0,1906.0,40582.0
820.0,ALCO Manchester,0-6-0,1909.0,46340.0
821.0,ALCO Schenectady,0-6-0,1910.0,49203.0
822.0,ALCO Schenectady,0-6-0,1910.0,49204.0
824.0,ALCO Manchester,0-6-0,1912.0,50737.0
825.0,ALCO Manchester,0-6-0,1912.0,50738.0
826.0,ALCO Manchester,0-6-0,1912.0,50739.0
827.0,ALCO Manchester,0-6-0,1912.0,50740.0
828.0,ALCO Schenectady,0-6-0,1913.0,52987.0
829.0,ALCO Schenectady,0-6-0,1913.0,52988.0
830.0,ALCO Schenectady,0-6-0,1917.0,57579.0
831.0,ALCO Schenectady,0-6-0,1917.0,57580.0
832.0,ALCO Schenectady,0-6-0,1918.0,59867.0
833.0,ALCO Schenectady,0-6-0,1918.0,59868.0
834.0,ALCO Schenectady,0-6-0,1920.0,62202.0
835.0,ALCO Schenectady,0-6-0,1920.0,62203.0
850.0,Rhode Island Locomotive Works,4-4-0,1885.0,1546.0
851.0,ALCO Schenectady,0-8-0,1916.0,56566.0
852.0,ALCO Schenectady,0-8-0,1916.0,56567.0
1001.0,ALCO,HH600,1936.0,68730.0
1002.0,ALCO,HH600,1936.0,68731.0
1003.0,ALCO,HH600,1936.0,68732.0
1004.0,ALCO,HH600,1938.0,69071.0
1005.0,ALCO,S-1,1941.0,69494.0
1006.0,ALCO,S-1,1945.0,73083.0
1007.0,ALCO,S-1,1949.0,77111.0
1008.0,ALCO,S-1,1949.0,77112.0
1051.0,ALCO,S-2,1941.0,69565.0
1052.0,ALCO,S-2,1943.0,70244.0
1053.0,ALCO,S-2,1946.0,73902.0
1054.0,ALCO,S-2,1949.0,76596.0
1055.0,ALCO,S-4,1950.0,78416.0
1056.0,ALCO,S-4,1950.0,78417.0
1057.0,ALCO,S-4,1950.0,78418.0
1058.0,ALCO,S-4,1950.0,78419.0
1061.0,ALCO,S-4,1950.0,78235.0
1062.0,ALCO,S-4,1950.0,78239.0
1063.0,ALCO,S-4,1950.0,78406.0
1081.0,EMD,GP7,1950.0,13533.0
1082.0,ALCO,RS-11,1956.0,81917.0
1101.0,ALCO,S-3,1950.0,78393.0
