Season,Series,Races,Poles,Wins,Podiums,Points,Position
2002,Formula Renault 2000 Brazil,10.0,1.0,1.0,3.0,133.0,3rd
2003,Formula Renault 2000 Brazil,12.0,5.0,4.0,6.0,186.0,1st
2003,Formula Renault 2000 UK,2.0,0.0,0.0,0.0,20.0,29th
2004,Superfund Euro Formula 3000,11.0,0.0,0.0,0.0,0.0,12th
2005,Stock Car Brasil,11.0,0.0,0.0,0.0,0.0,38th
2006,Stock Car Brasil,12.0,0.0,0.0,0.0,32.0,20th
2006-07,A1 Grand Prix,8.0,0.0,0.0,0.0,0.0,23rd
2007,Stock Car Brasil,11.0,0.0,0.0,1.0,20.0,26th
2008,Stock Car Brasil,12.0,0.0,0.0,2.0,222.0,7th
2008,GT3 Brasil Championship,12.0,0.0,0.0,3.0,24.0,13th
2009,Stock Car Brasil,11.0,2.0,2.0,2.0,260.0,4th
2009,GT3 Brasil Championship,16.0,0.0,2.0,11.0,216.0,2nd
2010,Stock Car Brasil,12.0,1.0,2.0,3.0,251.0,3rd
2010,GT Brasil GT3 class,16.0,0.0,0.0,8.0,169.0,2nd
2010,Trofeo Linea Brasil,2.0,0.0,0.0,1.0,20.0,16th
