County,Per capita income,Median household income,Median family income,Population,Number of households
Johnson,"$37,882","$73,733","$90,380",544179.0,212882.0
Scott,"$28,872","$58,341","$65,000",4936.0,1983.0
Greeley,"$28,698","$55,972","$63,967",1247.0,525.0
Ness,"$27,622","$47,639","$55,875",3107.0,1365.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
McPherson,"$26,467","$53,026","$68,016",29180.0,11748.0
Butler,"$26,436","$56,290","$66,581",65880.0,23992.0
Miami,"$26,218","$60,539","$70,243",32787.0,12161.0
Leavenworth,"$25,925","$61,107","$73,491",76227.0,26447.0
Kansas,"$25,907","$49,424","$62,424",2853118.0,1112096.0
Shawnee,"$25,705","$47,464","$61,250",177934.0,72600.0
Jefferson,"$25,580","$56,886","$65,011",19126.0,7366.0
Sedgwick,"$25,297","$47,848","$61,137",498365.0,193502.0
Lane,"$25,261","$42,311","$57,768",1750.0,799.0
Grant,"$25,188","$55,514","$60,822",7829.0,2716.0
Pottawatomie,"$25,157","$53,430","$66,591",21604.0,7878.0
Graham,"$25,026","$43,980","$62,788",2597.0,1196.0
Sheridan,"$24,933","$46,739","$52,854",2556.0,1099.0
Edwards,"$24,899","$39,226","$50,128",3037.0,1302.0
Clay,"$24,858","$42,490","$56,146",8535.0,3559.0
Douglas,"$24,851","$45,831","$68,282",110826.0,43576.0
Republic,"$24,731","$38,286","$50,028",4980.0,2274.0
Clark,"$24,605","$37,931","$60,865",2215.0,923.0
Ellis,"$24,093","$44,543","$62,176",28452.0,11908.0
Woodson,"$23,986","$30,385","$45,219",3309.0,1524.0
Morris,"$23,967","$42,083","$54,167",5923.0,2554.0
Meade,"$23,909","$46,658","$52,694",4575.0,1713.0
Thomas,"$23,883","$47,033","$64,462",7900.0,3196.0
Coffey,"$23,744","$47,171","$57,261",8601.0,3497.0
Barton,"$23,688","$43,763","$51,780",27674.0,11283.0
Saline,"$23,669","$45,162","$57,434",55606.0,22416.0
Smith,"$23,644","$39,836","$47,699",3853.0,1748.0
Rush,"$23,608","$39,435","$48,616",3307.0,1511.0
Pratt,"$23,585","$43,583","$56,250",9656.0,3956.0
Barber,"$23,542","$38,875","$48,836",4861.0,2139.0
Rooks,"$23,435","$37,861","$47,628",5181.0,2238.0
Mitchell,"$23,350","$44,247","$54,502",6373.0,2790.0
Jackson,"$23,306","$51,759","$59,906",13462.0,5228.0
Wallace,"$23,269","$43,953","$56,964",1485.0,620.0
Russell,"$23,243","$36,135","$45,720",6970.0,3173.0
