Stage,Date,Course,Distance,Winner
1.0,5 May,Madrid – Salamanca,km (mi),Joseph Huts ( BEL )
2.0,6 May,Salamanca – Cáceres,km (mi),Gustaaf Deloor ( BEL )
3.0,7 May,Cáceres – Sevilla,km (mi),Vicente Carretero ( ESP )
4.0,9 May,Sevilla – Málaga,km (mi),Gustaaf Deloor ( BEL )
5.0,10 May,Málaga – Granada,km (mi),Vicente Carretero ( ESP )
6.0,11 May,Granada – Almería,km (mi),Gustaaf Deloor ( BEL )
7.0,13 May,Almería – Alicante,km (mi),Mariano Cañardo ( ESP )
8.0,14 May,Alicante – Valencia,km (mi),Antonio Bertola ( ITA )
9.0,15 May,Valencia – Tarragona,km (mi),Salvador Cardona ( ESP )
10.0,17 May,Tarragona – Barcelona,km (mi),Vicente Carretero ( ESP )
11.0,18 May,Barcelona – Zaragoza,km (mi),Alfons Schepers ( BEL )
12.0,19 May,Zaragoza – San Sebastián,km (mi),Alfons Schepers ( BEL )
13.0,21 May,San Sebastián – Bilbao,km (mi),Vicente Carretero ( ESP )
14.0,22 May,Bilbao – Santander,km (mi),Alfons Deloor ( BEL )
15.0,24 May,Santander – Gijón,km (mi),Mariano Cañardo ( ESP )
16.0,25 May,Gijón – Ribadeo,km (mi),Rafael Ramos ( ESP )
17.0,26 May,Ribadeo – La Coruña,km (mi),Alfons Schepers ( BEL )
18.0,27 May,La Coruña – Vigo,km (mi),Vicente Carretero ( ESP )
19.0,29 May,Vigo – Verín,km (mi),Fermin Trueba ( ESP )
20.0,30 May,Verín – Zamora,km (mi),Antonio Bertola ( ITA )
21.0,31 May,Zamora – Madrid,km (mi),Emiliano Álvarez ( ESP )
