Name,Status,Population,District,Former local authority
Blackrod,Town,5300.0,Bolton,Blackrod Urban District
Bolton,Unparished area,142249.0,Bolton,Bolton County Borough
Farnworth,Unparished area,24062.0,Bolton,Farnworth Municipal Borough
Horwich,Town,19312.0,Bolton,Horwich Urban District
Kearsley,Unparished area,11747.0,Bolton,Kearsley Urban District
Little Lever,Unparished area,10712.0,Bolton,Little Lever Urban District
South Turton,Unparished area,24599.0,Bolton,Turton Urban District
Westhoughton,Town,23056.0,Bolton,Westhoughton Urban District
Bury,Unparished area,64534.0,Bury,Bury County Borough
Prestwich,Unparished area,33446.0,Bury,Prestwich Municipal Borough
Radcliffe,Unparished area,33994.0,Bury,Radcliffe Municipal Borough
Ramsbottom,Unparished area,14635.0,Bury,Ramsbottom Urban District
Tottington,Unparished area,12511.0,Bury,Tottington Urban District
Whitefield,Unparished area,21488.0,Bury,Whitefield Urban District
Manchester,Unparished area,392713.0,Manchester,Manchester County Borough
Ringway,Civil parish,106.0,Manchester,Bucklow Rural District
Chadderton,Unparished area,31114.0,Oldham,Chadderton Urban District
Failsworth,Unparished area,20555.0,Oldham,Failsworth Urban District
Lees,Unparished area,4616.0,Oldham,Lees Urban District
Oldham,Unparished area,93955.0,Oldham,Oldham County Borough
Royton,Unparished area,20961.0,Oldham,Royton Urban District
Saddleworth,Civil parish,24351.0,Oldham,Saddleworth Urban District
Shaw and Crompton,Civil parish,21721.0,Oldham,Crompton Urban District
Heywood,Unparished area,29240.0,Rochdale,Heywood Municipal Borough
Littleborough,Unparished area,13315.0,Rochdale,Littleborough Urban District
Middleton,Unparished area,45688.0,Rochdale,Middleton Municipal Borough
Milnrow,Unparished area,11561.0,Rochdale,Milnrow Urban District
Rochdale,Unparished area,97433.0,Rochdale,Rochdale County Borough
Wardle,Unparished area,8120.0,Rochdale,Wardle Urban District
Eccles,Unparished area,34599.0,Salford,Eccles Municipal Borough
Irlam,Unparished area,19125.0,Salford,Irlam Urban District
Salford,Unparished area,72721.0,Salford,Salford County Borough
Swinton and Pendlebury,Unparished area,36928.0,Salford,Swinton and Pendlebury Municipal Borough
Worsley,Unparished area,52730.0,Salford,Worsley Urban District
Bredbury and Romiley,Unparished area,28829.0,Stockport,Bredbury and Romiley Urban District
Cheadle and Gatley,Unparished area,57224.0,Stockport,Cheadle and Gatley Urban District
Hazel Grove and Bramhall,Unparished area,41202.0,Stockport,Hazel Grove and Bramhall Urban District
Marple,Unparished area,23480.0,Stockport,Marple Urban District
Offerton Park,Civil parish,3762.0,Stockport,Stockport County Borough
Stockport,Unparished area,130031.0,Stockport,Stockport County Borough
Ashton under Lyne,Unparished area,43526.0,Tameside,Ashton under Lyne Municipal Borough
Audenshaw,Unparished area,12790.0,Tameside,Audenshaw Urban District
Denton,Unparished area,34280.0,Tameside,Denton Urban District
Droylsden,Unparished area,23172.0,Tameside,Droylsden Urban District
Dukinfield,Unparished area,19278.0,Tameside,Dukinfield Municipal Borough
Hyde,Unparished area,34602.0,Tameside,Hyde Municipal Borough
Longdendale,Unparished area,9733.0,Tameside,Longdendale Urban District
Mossley,Town,9856.0,Tameside,Mossley Municipal Borough
Stalybridge,Unparished area,25806.0,Tameside,Stalybridge Municipal Borough
Altrincham,Unparished area,40376.0,Trafford,Altrincham Municipal Borough
Bowdon,Unparished area,6079.0,Trafford,Bowdon Urban District
Carrington,Civil parish,396.0,Trafford,Bucklow Rural District
Dunham Massey,Civil parish,475.0,Trafford,Bucklow Rural District
Hale,Unparished area,15316.0,Trafford,Hale Urban District
Partington,Town,7327.0,Trafford,Bucklow Rural District
Sale,Unparished area,56823.0,Trafford,Sale Municipal Borough
Stretford,Unparished area,42103.0,Trafford,Stretford Municipal Borough
Urmston,Unparished area,40964.0,Trafford,Urmston Urban District
Warburton,Civil parish,286.0,Trafford,Bucklow Rural District
Abram,Unparished area,13706.0,Wigan,Abram Urban District
Ashton in Makerfield,Unparished area,23431.0,Wigan,Ashton in Makerfield Urban District
Aspull,Unparished area,5522.0,Wigan,Aspull Urban District
Atherton,Unparished area,18876.0,Wigan,Atherton Urban District
Billinge Higher End and Winstanley,Unparished area,6731.0,Wigan,Billinge and Winstanley Urban District
Golborne,Unparished area,23214.0,Wigan,Golborne Urban District
Haigh,Civil parish,594.0,Wigan,Wigan Rural District
Hindley,Unparished area,22769.0,Wigan,Hindley Urban District
Ince in Makerfield,Unparished area,10184.0,Wigan,Ince in Makerfield Urban District
Leigh,Unparished area,44436.0,Wigan,Leigh Municipal Borough
Orrell,Unparished area,11988.0,Wigan,Orrell Urban District
Shevington,Civil parish,9786.0,Wigan,Wigan Rural District
Standish with Langtree,Unparished area,13309.0,Wigan,Standish with Langtree Urban District
Tyldesley,Unparished area,24371.0,Wigan,Tyldesley Urban District
Wigan,Unparished area,72363.0,Wigan,Wigan County Borough
Worthington,Civil parish,135.0,Wigan,Wigan Rural District
