Week,Date,Opponent,Result,Venue,Attendance
1.0,"September 26, 1954",Pittsburgh Steelers,L 21-20,City Stadium,20675.0
2.0,"October 3, 1954",Chicago Bears,L 10-3,City Stadium,24414.0
3.0,"October 10, 1954",San Francisco 49ers,L 23-17,Milwaukee County Stadium,15571.0
4.0,"October 17, 1954",Los Angeles Rams,W 35-17,Milwaukee County Stadium,17455.0
5.0,"October 24, 1954",at Baltimore Colts,W 7-6,Memorial Stadium,28680.0
6.0,"October 30, 1954",at Philadelphia Eagles,W 37-14,Connie Mack Stadium,25378.0
7.0,"November 7, 1954",at Chicago Bears,L 28-23,Wrigley Field,47038.0
8.0,"November 13, 1954",Baltimore Colts,W 24-13,Milwaukee County Stadium,19786.0
9.0,"November 21, 1954",Detroit Lions,L 21-17,City Stadium,20767.0
10.0,"November 25, 1954",at Detroit Lions,L 28-24,Briggs Stadium,55532.0
11.0,"December 5, 1954",at San Francisco 49ers,L 35-0,Kezar Stadium,32012.0
12.0,"December 12, 1954",at Los Angeles Rams,L 35-27,Los Angeles Memorial Coliseum,38839.0
