Round,Pick,Player,Position,School/Club Team
1.0,11.0,Walt Schlinkman,Fullback,Texas Tech
3.0,27.0,Clyde Goodnight,End,Tulsa
5.0,43.0,Joe Graham,End,Florida
6.0,54.0,Don Wells,Defensive End,Georgia
7.0,65.0,Casey Stephenson,Back,Tennessee
8.0,76.0,Toby Collins,Tackle,Tulsa
9.0,87.0,Lamar Dingler,End,Arkansas
10.0,98.0,Hal Helscher,Back,LSU
11.0,109.0,Ralph Hammond,Center,Pittsburgh
12.0,120.0,Ed Podgorski,Tackle,Lafayette
13.0,131.0,Bill Hackett,Guard,Ohio State
14.0,142.0,Marv Lindsey,Back,Arkansas
15.0,153.0,Robert McClure,Tackle,Nevada
16.0,164.0,Harry Pieper,Center,California
17.0,175.0,Bob Kula,Back,Minnesota
18.0,186.0,Frank Hazard,Guard,Nebraska
19.0,197.0,Ed Jeffers,Tackle,Oklahoma State
20.0,208.0,Bill Prentice,Back,Santa Clara
21.0,219.0,Warren Fuller,End,Fordham
22.0,230.0,Fred Neilsen,Tackle,St. Mary's (CA)
23.0,241.0,Bob Gilmore,Back,Washington
24.0,252.0,Lloyd Baxter,Center,SMU
25.0,263.0,Nolan Luhn,Wide Receiver,Tulsa
26.0,274.0,Nestor Blanco,Guard,Colorado Mines
27.0,285.0,Bill Chestnut,Back,Kansas
28.0,296.0,Jim Thompson,Back,Washington State
29.0,307.0,Jim Evans,End,Idaho
30.0,318.0,Hamilton Nichols,Guard,Rice
31.0,324.0,John Priday,Back,Ohio State
32.0,330.0,Bill Joe Aldridge,Back,Oklahoma State
