Season,Level,Division,Administration,Position
1994.0,Tier 2,Ykkönen (First Division),Finnish FA (Suomen Pallolitto),1st
1995.0,Tier 1,Veikkausliiga (Premier League),Finnish FA (Suomen Pallolitto),14th
1996.0,Tier 2,Ykkönen (First Division),Finnish FA (Suomen Pallolitto),7th
1997.0,Tier 2,Ykkönen (First Division),Finnish FA (Suomen Pallolitto),10th
1998.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),8th
1999.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),9th
2000.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),4th
2001.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),2nd
2002.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),11th
2003.0,Tier 4,Kolmonen (Third Division),Helsinki & Uusimaa (SPL Helsinki),3rd
2004.0,Tier 4,Kolmonen (Third Division),Helsinki & Uusimaa (SPL Uusimaa),1st
2005.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),10th
2006.0,Tier 3,Kakkonen (Second Division),Finnish FA (Suomen Pallolitto),14th
2007.0,Tier 4,Kolmonen (Third Division),Helsinki & Uusimaa (SPL Uusimaa),6th
2008.0,Tier 4,Kolmonen (Third Division),Helsinki & Uusimaa (SPL Uusimaa),3rd
2009.0,Tier 4,Kolmonen (Third Division),Helsinki & Uusimaa (SPL Uusimaa),4th
2010.0,Tier 4,Kolmonen (Third Division),Helsinki & Uusimaa (SPL Helsinki),11th
