Club,Position in 2012–13,First season in top division,Number of seasons in top division,Number of seasons in Prva HNL,First season of current spell in top division,Top division titles,Last top division title
"Dinamo Zagreb a,b",001 1st,1946–47,68.0,23.0,1946–47,19 c,2012–13
"Hajduk Split a,b",004 4th,1923,86.0,23.0,1923,15 d,2004–05
Hrvatski Dragovoljac,ZZZ 1st in 2.HNL,1995–96,9.0,9.0,2013–14,0,N/A
Istra 1961,006 6th,2004–05,8.0,8.0,2009–10,0,N/A
Lokomotiva b,002 2nd,1946–47,15.0,5.0,2009–10,0,N/A
"Osijek a,b",007 7th,1953–54,38.0,23.0,1981–82,0,N/A
"Rijeka a,b",003 3rd,1946–47,52.0,23.0,1974–75,0,N/A
Slaven Belupo b,008 8th,1997–98,17.0,17.0,1997–98,0,N/A
RNK Split b,005 5th,1957–58,6.0,4.0,2010–11,0,N/A
Zadar a,009 9th,1992,18.0,18.0,2006–07,0,N/A
