Date,Opponent,Result,Odds,Location,Score
1838.0,Alexandre,Lost,none,London,N/A
1840.0,Popert,Won,none,London,13/21
1841.0,Stanley,Lost,P + 2,London,2½/6
1841.0,Zytogorski,Lost,P + 2,N/A,½/7
1843.0,Cochrane,Won,none,London,14/18
1843.0,Taverner,Won,P + 2,N/A,5/6
1843.0,Saint-Amant,Lost,none,London,2½/6
1843.0,Brooke-Greville,Lost,P + 1,N/A,0/3
1843.0,Brooke-Greville,Won,P + 2,N/A,5/6
1843.0,Buckle,Lost,P + 1,London,1/3
1843.0,Saint-Amant,Won,none,Paris,13/21
1844.0,Tuckett,Won,P + 2,N/A,7½/9
1845.0,Tuckett,Won,P + 2,N/A,7½/9
1845.0,Mongredien,Won,P + 2,N/A,3½/5
1845.0,Spreckley,Won,P + 2,N/A,3½/5
1845.0,Williams,Won,P + 2,N/A,3½/4
1845.0,Kennedy,Won,P + 2,N/A,8½/11
1846.0,Horwitz,Won,none,London,15½/24
1846.0,Hannah,Won,Q Knight,N/A,5½/8
1846.0,Daniel Harrwitz,Won,none,London,7/7
1846.0,Daniel Harrwitz,Lost,P + 1,London,1½/8
1846.0,Daniel Harrwitz,Won,P + 2,London,4/7
1847.0,Kenny,Drawn,Q Rook,N/A,2/4
1847.0,Loewe,Lost,P + 2,N/A,2/7
1847.0,Medley,Won,P + 2,N/A,7½/10
1851.0,Carl Jaenisch,Won,none,London,7½/10
1851.0,Elijah Williams,Lost,none,London,7½/13
1853.0,von der Lasa,Lost,none,Brussels,5½/12
1854.0,Brien,N/A,P + 2,N/A,N/A
1859.0,Worrall,Won,Q Knight,N/A,7½/10
