Player,Position,Date of Birth (Age),Caps,Club/province
Huw Bennett,Hooker,11 June 1983,14.0,Ospreys
Matthew Rees,Hooker,9 December 1980,16.0,Scarlets
Gareth Williams,Hooker,19 December 1978,5.0,Blues
Gethin Jenkins,Prop,17 November 1980,53.0,Blues
Adam Jones,Prop,8 March 1981,55.0,Ospreys
Duncan Jones,Prop,18 September 1978,45.0,Ospreys
Rhys M. Thomas,Prop,31 July 1982,3.0,Dragons
Ian Evans,Lock,4 October 1984,8.0,Ospreys
Ian Gough,Lock,10 November 1976,45.0,Ospreys
Alun Wyn Jones,Lock,19 September 1985,18.0,Ospreys
Deiniol Jones,Lock,18 November 1977,4.0,Blues
Robin Sowden-Taylor,Flanker,9 June 1982,5.0,Blues
Jonathan Thomas,Flanker,27 December 1982,39.0,Ospreys
Martyn Williams,Flanker,1 September 1975,76.0,Blues
Gareth Delve,Number 8,30 September 1982,4.0,Gloucester
Ryan Jones ( c ),Number 8,13 March 1981,16.0,Ospreys
Alix Popham,Number 8,17 October 1979,32.0,Scarlets
Gareth Cooper,Scrum-half,7 May 1979,35.0,Gloucester
Dwayne Peel,Scrum-half,31 August 1981,59.0,Scarlets
Mike Phillips,Scrum-half,29 August 1982,28.0,Ospreys
James Hook,Fly-half,27 June 1985,20.0,Ospreys
Stephen Jones,Fly-half,8 December 1977,62.0,Scarlets
Gavin Henson,Centre,1 February 1982,23.0,Ospreys
Sonny Parker,Centre,27 August 1977,27.0,Ospreys
Tom Shanklin,Centre,24 November 1979,47.0,Blues
Tom James,Wing,11 April 1987,2.0,Blues
Mark Jones,Wing,7 November 1979,35.0,Scarlets
Shane Williams,Wing,26 February 1977,51.0,Ospreys
Lee Byrne,Fullback,1 June 1980,14.0,Ospreys
Jamie Roberts,Fullback,8 November 1986,0.0,Blues
