Pick #,MLS Team,Player,Position,Affiliation
29.0,Los Angeles Galaxy,Julian Valentin,D,Wake Forest
30.0,Toronto FC,Mike Zaher,D,UCLA San Fernando Valley Quakes
31.0,Columbus Crew,Ryan Miller,D,Notre Dame Indiana Invaders
32.0,New York Red Bulls,Luke Sassano,M,California San Jose Frogs
33.0,D.C. United,Ryan Cordeiro,M/F,Connecticut
34.0,Los Angeles Galaxy,Matt Allen,GK,Creighton Des Moines Menace
35.0,Toronto FC,Joseph Lapira,F,Notre Dame Baton Rouge Capitals
36.0,Colorado Rapids,Adrian Chevannes,D,SMU
37.0,Real Salt Lake,Brennan Tennelle,M,UC Santa Barbara
38.0,Chicago Fire,Dwight Barnett,F,Lynn University Cape Cod Crusaders
39.0,Kansas City Wizards,Matt Marquess,D,Santa Clara San Jose Frogs
40.0,Chicago Fire,Stephen King,M,Maryland
41.0,New England Revolution,Matt Britner,D,Brown
42.0,Houston Dynamo,Geoff Cameron,M,Rhode Island Rhode Island Stingrays
