Year,Film,Role,Language,Notes
2000.0,Hector,Reno,English,Film
2002.0,Marion Bridge,Sam,English,Film
2002.0,The Wet Season,Taylor,English,Film
2003.0,Touch & Go,Krissa,English,Film
2003.0,Going For Broke,Annabelle,English,Film
2004.0,Days Like These,Alicia,English,Film
2005.0,Johnny Benson's Adventures,Camilla,English,Film
2006.0,Live Free or Die,Christy,English,Film
2007.0,The Screening,Ava,English,Film
2007.0,Equal Opportunity,Bena Brazilian,English,Film
2007.0,Pain Within,Brittany,English,Film
