Position,Team,Points,Played,Drawn,Lost,Against,Difference
1.0,Palmeiras,32.0,22.0,6.0,3.0,22.0,23
2.0,São Paulo,31.0,22.0,5.0,4.0,26.0,28
3.0,Santos,31.0,22.0,5.0,4.0,34.0,13
4.0,Portuguesa,29.0,22.0,3.0,6.0,36.0,31
5.0,Corinthians,28.0,22.0,8.0,4.0,34.0,13
6.0,Guarani,23.0,22.0,5.0,8.0,41.0,- 7
7.0,Ypiranga-SP,19.0,22.0,1.0,12.0,40.0,- 7
8.0,Juventus,18.0,22.0,4.0,11.0,45.0,- 10
9.0,XV de Piracicaba,17.0,22.0,5.0,11.0,40.0,- 10
10.0,Portuguesa Santista,16.0,22.0,4.0,12.0,39.0,- 5
11.0,Nacional-SP,12.0,22.0,4.0,14.0,55.0,- 35
12.0,Jabaquara,8.0,22.0,2.0,17.0,57.0,- 34
