State,Joined,Population 2006,Jul 2013,Jun 2014
Germany,1951,82428000.0,99.0,96.0
France,1951,62886000.0,74.0,74.0
United Kingdom,1973,60422000.0,73.0,73.0
Italy,1951,58752000.0,73.0,73.0
Spain,1986,43758000.0,54.0,54.0
Poland,2004,38157000.0,51.0,51.0
Romania,2007,21610000.0,33.0,32.0
Netherlands,1951,16334000.0,26.0,26.0
Greece,1981,11125000.0,22.0,21.0
Portugal,1986,10570000.0,22.0,21.0
Belgium,1951,10511000.0,22.0,21.0
Czech Republic,2004,10251000.0,22.0,21.0
Hungary,2004,10077000.0,22.0,21.0
Sweden,1995,9048000.0,20.0,20.0
Austria,1995,8266000.0,19.0,18.0
Bulgaria,2007,7719000.0,18.0,17.0
Denmark,1973,5428000.0,13.0,13.0
Slovakia,2004,5389000.0,13.0,13.0
Finland,1995,5256000.0,13.0,13.0
Croatia,2013,4443000.0,12.0,11.0
Ireland,1973,4209000.0,12.0,11.0
Lithuania,2004,3403000.0,12.0,11.0
Latvia,2004,2295000.0,9.0,8.0
Slovenia,2004,2003000.0,8.0,8.0
Estonia,2004,1344000.0,6.0,6.0
Cyprus,2004,766000.0,6.0,6.0
Luxembourg,1951,460000.0,6.0,6.0
Malta,2004,404000.0,6.0,6.0
Total,Total,494070000.0,766.0,751.0
