Draw,Artist,Song,Televote,Place
1.0,Ingrida Žiliūtė,"""You and I""",638.0,9.0
2.0,Vilma Voroblevaitė,"""Vakaras""",247.0,14.0
3.0,Julija and Girma,"""To My Soul""",466.0,12.0
4.0,Laiptai,"""Aš rasiu""",1216.0,8.0
5.0,"""Funny Beat""",Evertown,1677.0,7.0
6.0,Augustė,"""Do Somethin'""",5145.0,6.0
7.0,Mini Me,"""Yes""",5936.0,5.0
8.0,Pokeris,"""Stone""",633.0,10.0
9.0,Justinas Lapatinskas,"""Muziką garsiau!""",299.0,13.0
10.0,Jeronimas Milius,"""Nomads in the Night""",11674.0,1.0
11.0,Aistė Pilvelytė,"""Troy on Fire""",11242.0,2.0
12.0,Sasha Son,"""Miss Kiss""",8306.0,3.0
13.0,Raimonda Masiulytė,"""Birdie's Tweet""",7391.0,4.0
14.0,Nerri,"""Step into this World""",610.0,11.0
