Position,Jersey #,Name,Height (cm),Weight (kg),Birthdate,Birthplace,1983–1984 Team
G,31.0,Tom Barrasso,190.0,95.0,"March 31, 1965","Boston, Massachusetts",Buffalo Sabres
G,1.0,Glenn Resch,175.0,88.0,"July 10, 1948","Moose Jaw, Saskatchewan , Canada",New Jersey Devils
D,21.0,Chris Chelios,185.0,86.0,"January 25, 1962","Evergreen Park, Illinois",Montreal Canadiens
D,2.0,Mark Fusco,175.0,82.0,"March 12, 1961","Woburn, Massachusetts",Hartford Whalers
D,22.0,Tom Hirsch,193.0,95.0,"January 27, 1963","Minneapolis, Minnesota",Minnesota North Stars
D,4.0,Phil Housley,178.0,84.0,"September 3, 1964","South St. Paul, Minnesota",Buffalo Sabres
D,5.0,Rod Langway,191.0,99.0,"May 3, 1957","Taipei, Taiwan , Republic of China",Washington Capitals
D,3.0,Mike Ramsey,191.0,86.0,"December 18, 1960","Minneapolis, Minnesota",Buffalo Sabres
D,10.0,Gordie Roberts,183.0,88.0,"October 2, 1957","Detroit, Michigan",Minnesota North Stars
F,23.0,Aaron Broten,178.0,79.0,"November 14, 1960","Roseau, Minnesota",New Jersey Devils
LW,98.0,Brian Lawton,183.0,82.0,"June 29, 1965","New Brunswick, New Jersey",Minnesota North Stars
LW,20.0,Brian Mullen,178.0,82.0,"March 16, 1962",New York,Winnipeg Jets
C,13.0,Bob Brooke,188.0,94.0,"December 18, 1960","Melrose, Massachusetts",New York Rangers
C,8.0,Neal Broten,175.0,70.0,"November, 29 1959","Roseau, Minnesota",Minnesota North Stars
C,9.0,Bob Carpenter,183.0,91.0,"July 13, 1963","Beverly, Massachusetts",Washington Capitals
C,11.0,Ed Olczyk,185.0,89.0,"August, 16 1966",Chicago,Stratford Cullitons ( GOJHL )
C,19.0,Bryan Trottier,180.0,81.0,"July 17, 1956","Val Marie, Saskatchewan , Canada",New York Islanders
RW,27.0,Dave Christian,180.0,77.0,"May, 12 1959","Warroad, Minnesota",Washington Capitals
RW,24.0,Bryan Erickson,175.0,77.0,"March 7, 1960","Roseau, Minnesota",Washington Capitals
RW,25.0,David A. Jensen,185.0,79.0,"August 19, 1965","Newton, Massachusetts",Belmont Hill Academy ( ISL )
RW,15.0,Joe Mullen,178.0,83.0,"February 26, 1957",New York,St. Louis Blues
