Rank,Name,Population 1991,Population 2001,Population 2007,State
1.0,Vienna,1539848.0,1550123.0,1664146.0,Vienna
2.0,Graz,237810.0,226244.0,247698.0,Styria
3.0,Linz,203044.0,183504.0,188894.0,Upper Austria
4.0,Salzburg,143978.0,142662.0,149018.0,Salzburg
5.0,Innsbruck,118112.0,113392.0,117693.0,Tyrol
6.0,Klagenfurt,89415.0,90141.0,92397.0,Carinthia
7.0,Wels,52594.0,56478.0,58623.0,Upper Austria
8.0,Villach,54640.0,57497.0,58480.0,Carinthia
9.0,Sankt Pölten,50026.0,49121.0,51360.0,Lower Austria
10.0,Dornbirn,40735.0,42301.0,44243.0,Vorarlberg
11.0,Wiener Neustadt,35134.0,37627.0,39940.0,Lower Austria
12.0,Steyr,39337.0,39340.0,38979.0,Upper Austria
13.0,Feldkirch,26730.0,28607.0,30093.0,Vorarlberg
14.0,Bregenz,27097.0,26752.0,27148.0,Vorarlberg
15.0,Wolfsberg,24400.0,25335.0,25361.0,Carinthia
16.0,Baden bei Wien,23488.0,24502.0,25284.0,Lower Austria
17.0,Leoben,28897.0,25804.0,25227.0,Styria
18.0,Klosterneuburg,24442.0,24797.0,25216.0,Lower Austria
19.0,Traun,22260.0,23470.0,23941.0,Upper Austria
20.0,Krems,22766.0,23713.0,23932.0,Lower Austria
21.0,Leonding,21209.0,22203.0,23624.0,Upper Austria
22.0,Amstetten,21972.0,22595.0,23035.0,Lower Austria
23.0,Kapfenberg,23380.0,22234.0,21928.0,Styria
24.0,Mödling,20290.0,20405.0,20649.0,Lower Austria
25.0,Lustenau,18484.0,19709.0,20606.0,Vorarlberg
26.0,Hallein,17271.0,18399.0,19169.0,Salzburg
27.0,Traiskirchen,13852.0,15669.0,16497.0,Lower Austria
28.0,Kufstein,13484.0,15358.0,16457.0,Tyrol
29.0,Braunau am Inn,16264.0,16337.0,16328.0,Upper Austria
30.0,Schwechat,14669.0,15286.0,16065.0,Lower Austria
31.0,Spittal an der Drau,15346.0,16045.0,15944.0,Carinthia
32.0,Saalfelden,12604.0,15093.0,15728.0,Salzburg
33.0,Ansfelden,14636.0,14789.0,15707.0,Upper Austria
34.0,Stockerau,13608.0,14452.0,15157.0,Lower Austria
35.0,Ternitz,15445.0,15232.0,15066.0,Lower Austria
36.0,Hohenems,13531.0,13891.0,14864.0,Vorarlberg
37.0,Perchtoldsdorf,14051.0,13998.0,14489.0,Lower Austria
38.0,Telfs,10179.0,12833.0,14443.0,Tyrol
39.0,Feldkirchen,12977.0,14030.0,14298.0,Carinthia
40.0,Tulln,12038.0,13591.0,14190.0,Lower Austria
41.0,Bad Ischl,13887.0,14081.0,14093.0,Upper Austria
42.0,Bludenz,13369.0,13701.0,13890.0,Vorarlberg
43.0,Bruck an der Mur,14046.0,13439.0,13304.0,Styria
44.0,Gmunden,13133.0,13184.0,13191.0,Upper Austria
45.0,Sankt Veit an der Glan,12045.0,12976.0,12994.0,Carinthia
46.0,Schwaz,11839.0,12212.0,12637.0,Tyrol
47.0,Hall in Tirol,12368.0,11492.0,12424.0,Tyrol
48.0,Eisenstadt,10349.0,11334.0,12367.0,Burgenland
49.0,Neunkirchen,10216.0,11562.0,12148.0,Lower Austria
50.0,Lienz,11864.0,12079.0,12128.0,Tyrol
51.0,Hard,10747.0,11404.0,12051.0,Vorarlberg
52.0,Wörgl,10054.0,10885.0,11993.0,Tyrol
53.0,Knittelfeld,12873.0,12740.0,11991.0,Styria
54.0,Vöcklabruck,11239.0,11697.0,11945.0,Upper Austria
55.0,Marchtrenk,10369.0,11274.0,11743.0,Upper Austria
56.0,Korneuburg,9730.0,11032.0,11736.0,Lower Austria
57.0,Waidhofen,11435.0,11662.0,11671.0,Lower Austria
58.0,Rankweil,10509.0,11171.0,11627.0,Vorarlberg
59.0,Ried im Innkreis,11260.0,11404.0,11585.0,Upper Austria
60.0,Wals-Siezenheim,9563.0,11024.0,11567.0,Salzburg
61.0,Zwettl,11427.0,11630.0,11490.0,Upper Austria
62.0,Völkermarkt,11081.0,11373.0,11429.0,Carinthia
63.0,Bad Vöslau,11055.0,10998.0,11218.0,Lower Austria
64.0,Hollabrunn,10461.0,10685.0,11199.0,Lower Austria
65.0,Enns,10192.0,10611.0,11139.0,Upper Austria
66.0,Mistelbach,10234.0,10644.0,11040.0,Lower Austria
67.0,Sankt Johann im Pongau,8855.0,10260.0,10682.0,Salzburg
68.0,Brunn am Gebirge,8573.0,9422.0,10579.0,Lower Austria
69.0,Sankt Andrä,10582.0,10719.0,10561.0,Carinthia
70.0,Götzis,9512.0,10097.0,10554.0,Vorarlberg
71.0,Bischofshofen,10138.0,10087.0,10152.0,Salzburg
72.0,Köflach,11276.0,10671.0,10134.0,Styria
