Rank,Name,Height m / ft,Floors,Year
1,Living Shangri-La,201 / 659,62.0,2008.0
2,The Private Residences at Hotel Georgia,158 / 518,48.0,2012.0
3,One Wall Centre,150 / 491,48.0,2001.0
4,Shaw Tower,149 / 489,41.0,2004.0
5,Harbour Centre,146 / 481,45.0,1977.0
6,Royal Centre,141 / 464,37.0,1973.0
6,The Melville,141 / 461,43.0,2007.0
8,Bentall 5,140 / 460,34.0,2007.0
8,Park Place,140 / 459,35.0,1984.0
8,Fairmont Pacific Rim,140 / 458,44.0,2010.0
11=,Granville Square,138 / 454,30.0,1973.0
11=,Four Bentall Centre,138 / 454,35.0,1981.0
11,Scotia Tower,138 / 452,34.0,1977.0
14,TD Tower,127 / 417,30.0,1972.0
15=,Patina,126 / 418,42.0,2011.0
15=,Capitol Residences,126 / 414,42.0,2010.0
17,W-43,125 / 411,40.0,2009.0
18,Three Bentall Centre,122 / 400,32.0,1974.0
19,Empire Landmark Hotel,121 / 396,42.0,1973.0
20,Jameson House,119 / 381,38.0,2011.0
21,The Ritz,118 / 388,37.0,2008.0
22,West One,117 / 384,38.0,2002.0
23,Cathedral Place,116 / 382,23.0,1991.0
24,West Pender Place 1,113 / 370,36.0,2011.0
25,Hotel Vancouver,111 / 363,17.0,1939.0
26=,Venus,109 / 359,34.0,2000.0
26=,Hyatt Regency Vancouver,109 / 359,35.0,1973.0
26,Marriott Pinnacle Hotel,109 / 357,35.0,2000.0
29,Residences on Georgia,108 / 354,36.0,1998.0
30=,The Pinnacle,106 / 348,36.0,1996.0
30=,Callisto,106 / 348,35.0,2004.0
30=,Residences on Georgia,106 / 348,36.0,1998.0
30=,Dolce,106 / 348,31.0,2010.0
34,Two Harbour Green,105 / 345,31.0,2008.0
35=,1177 West Hastings,104 / 342,27.0,1968.0
35=,Oceanic Plaza,104 / 342,26.0,1977.0
35,1075 West Georgia,104 / 340,27.0,1968.0
38=,Landmark 33,103 / 338,35.0,1998.0
38=,QuayWest Tower I,103 / 338,35.0,2002.0
38,Elan,103 / 337,34.0,2008.0
41,Sheraton Wall Centre Hotel,102 / 335,35.0,1994.0
42,FortisBC Centre,101 / 332,24.0,1992.0
42=,Paris Place,101 / 330,33.0,1995.0
42=,HSBC Building,101 / 330,23.0,1987.0
45=,Canaccord Tower,100 / 329,24.0,1981.0
45=,Coast Plaza Hotel & Suites,100 / 329,32.0,1969.0
45=,Carmana Plaza,100 / 328,34.0,1999.0
45=,Guinness Tower,100 / 328,25.0,1969.0
