Name,Number,Position,Height,Weight,Year,Hometown
Adam Ahlfeld,34.0,G,6–0,193.0,Senior,"Indianapolis, Indiana"
Armon Bassett,1.0,G,6–1,176.0,Sophomore,"Terre Haute, Indiana"
Jordan Crawford,5.0,G,6–4,195.0,Freshman,"Detroit, Michigan"
Jamarcus Ellis,13.0,G,6–5,200.0,Junior,"Chicago, Illinois"
Brett Finkelmeier,4.0,G,6–2,180.0,Freshman,"Carmel, Indiana"
Eric Gordon,23.0,G,6–4,215.0,Freshman,"Indianapolis, Indiana"
Eli Holman,32.0,C,6–9,210.0,Freshman,"Richmond, California"
Brandon McGee,24.0,F,6–7,220.0,Freshman,"Chicago, Illinois"
Lance Stemler,22.0,F,6–8,210.0,Senior,"Columbia, Illinois"
Kyle Taber,44.0,F,6–7,226.0,Junior,"Evansville, Indiana"
DeAndre Thomas,2.0,F,6–8,295.0,Junior,"Chicago, Illinois"
D. J. White,3.0,F,6–9,251.0,Senior,"Tuscaloosa, Alabama"
Mike White,30.0,F,6–6,232.0,Senior,"Springhill, Louisiana"
