Year,Date,Home,Score,Away,Venue
2002.0,6 April,Georgia,23 - 31,Romania,Tbilisi
2003.0,30 March,Georgia,6 - 19,Romania,Tbilisi
2004.0,27 May,Romania,25 - 18,Georgia,Iaşi
2005.0,12 March,Georgia,20 - 13,Romania,Tbilisi
2006.0,25 February,Romania,35 - 10,Georgia,Bucharest
2007.0,3 February,Romania,17 - 20,Georgia,Bucharest
2008.0,9 February,Georgia,22 - 7,Romania,Tbilisi
2009.0,14 March,Georgia,28 - 23,Romania,Tbilisi
2010.0,13 March,Romania,22-10,Georgia,Bucharest
2011.0,12 March,Georgia,18-11,Romania,Tbilisi
2012.0,10 March,Romania,13-19,Georgia,Bucharest
2013.0,16 March,Romania,9-9,Georgia,Bucharest
