Player,FG Pct,3FGM,3FGA,3FG Pct,FT Pct,Off Reb,Def Reb,Total Reb,Asst
Harangody,51.5,3.0,8.0,37.5,76.7,103.0,212.0,315.0,53.0
McAlarney,43.6,103.0,230.0,44.8,82.3,7.0,56.0,62.0,110.0
Kurz,45.5,37.0,93.0,39.8,85.1,61.0,170.0,231.0,61.0
Jackson,39.1,17.0,59.0,28.8,51.0,54.0,102.0,156.0,189.0
Ayers,46.6,53.0,114.0,46.5,75.0,22.0,80.0,102.0,38.0
Hillesland,50.0,1.0,2.0,50.0,68.6,43.0,109.0,152.0,74.0
Zeller,43.2,31.0,80.0,38.8,53.8,27.0,43.0,70.0,14.0
Peoples,44.2,13.0,36.0,36.1,83.3,22.0,30.0,52.0,37.0
Abromaitis,26.3,1.0,8.0,12.5,100.0,4.0,5.0,9.0,3.0
Proffitt,42.9,2.0,5.0,40.0,0.0,0.0,3.0,3.0,2.0
Andree,100.0,0.0,0.0,0.0,100.0,1.0,3.0,4.0,1.0
Nash,46.2,0.0,1.0,0.0,27.3,8.0,12.0,20.0,5.0
Kopko,50.0,1.0,3.0,33.3,0.0,1.0,1.0,2.0,0.0
Total,45.9,262.0,639.0,41.0,73.6,413.0,878.0,1291.0,587.0
