Name,Mi from Kingston,Km from Kingston,Parish,Length feet,Length meters
Scotts Pass,44.25,71.2,Clarendon,70.0,21.3
Scotts Pass,44.5,71.6,Clarendon,170.0,51.8
Comfort Hall,65.5,105.4,St. Elizabeth,688.0,209.1
Balaclava,70.0,112.6,St. Elizabeth,348.0,106.1
Highworth,84.0,135.2,St. Elizabeth,182.0,55.5
Y S,84.5,136.0,St. Elizabeth,218.0,66.4
Ipswich,86.25,138.8,St. Elizabeth,855.0,260.6
Unnamed,87.75,141.2,St. James,555.0,164.6
Merrywood,88.5,142.4,St. James,362.0,115.8
Anchovy,104.5,168.2,St. James,102.0,31.1
Ramble,108.0,173.8,St. James,182.0,55.5
Bogue Hill,108.5,174.6,St. James,1276.0,388.9
Bogue Hill,108.75,175.0,St. James,458.0,139.6
