Rider,Manufacturer,Laps,Time,Grid
Valentino Rossi,Yamaha,21.0,43:06.007,2.0
Dani Pedrosa,Honda,21.0,+4.008,1.0
Andrea Dovizioso,Honda,21.0,+8.536,6.0
Nicky Hayden,Honda,21.0,+8.858,4.0
Shinya Nakano,Honda,21.0,+10.583,15.0
Casey Stoner,Ducati,21.0,+13.640,7.0
Loris Capirossi,Suzuki,21.0,+15.936,8.0
Colin Edwards,Yamaha,21.0,+18.802,5.0
Chris Vermeulen,Suzuki,21.0,+23.174,11.0
Randy de Puniet,Honda,21.0,+25.516,9.0
John Hopkins,Kawasaki,21.0,+27.609,10.0
Anthony West,Kawasaki,21.0,+41.399,13.0
Sylvain Guintoli,Ducati,21.0,+45.617,16.0
Alex de Angelis,Honda,21.0,+49.003,17.0
Toni Elias,Ducati,21.0,+59.139,19.0
Marco Melandri,Ducati,21.0,+1:03.328,14.0
Nobuatsu Aoki,Suzuki,21.0,+1:48.363,18.0
Jorge Lorenzo,Yamaha,12.0,Accident,3.0
James Toseland,Yamaha,2.0,Accident,12.0
