Season,Games,Lost,Points,Pct %,Goals For,Goals Against,Standing
1998–99,68.0,57.0,19.0,0.14,198.0,362.0,5th Midwest
1999–2000,68.0,28.0,65.0,0.449,213.0,226.0,3rd Midwest
2000–01,68.0,22.0,79.0,0.551,231.0,210.0,3rd Midwest
2001–02,68.0,35.0,59.0,0.419,215.0,258.0,5th Midwest
2002–03,68.0,24.0,78.0,0.544,239.0,202.0,1st Central
2003–04,68.0,32.0,61.0,0.434,180.0,221.0,4th Central
2004–05,68.0,24.0,77.0,0.551,214.0,200.0,3rd Central
2005–06,68.0,21.0,91.0,0.669,272.0,222.0,1st Central
2006–07,68.0,36.0,59.0,0.434,214.0,277.0,4th Central
2007–08,68.0,22.0,88.0,0.647,264.0,187.0,1st Central
2008–09,68.0,19.0,96.0,0.706,264.0,184.0,1st Central
2009–10,68.0,29.0,64.0,0.471,167.0,181.0,3rd Central
2010–11,68.0,32.0,65.0,0.478,190.0,214.0,3rd Central
2011–12,68.0,22.0,82.0,0.603,202.0,188.0,3rd Central
2012–13,68.0,25.0,77.0,0.566,193.0,190.0,2nd Central
Total,1020.0,428.0,1060.0,0.519,3256.0,3322.0,4 Division Titles
