Scorer,Club,League goals,FA Cup goals,League Cup goals,Total
John Hickton,Middlesbrough,23,4.0,0.0,27.0
John Byrom,Bolton Wanderers,20,0.0,5.0,25.0
Barry Bridges,Queens Park Rangers,21,1.0,1.0,23.0
Rodney Marsh,Queens Park Rangers,12,4.0,7.0,23.0
Alan Woodward,Sheffield United,18,0.0,3.0,21.0
Arthur Horsfield,Swindon Town,16,4.0,0.0,20.0
Brian Clark,Cardiff City,18,0.0,0.0,20.0
John Toshack,Cardiff City,17,1.0,0.0,20.0
Frank Worthington,Huddersfield Town,18,1.0,0.0,19.0
Derek Possee,Millwall,18,1.0,0.0,19.0
Chris Chilton,Hull,18,0.0,1.0,19.0
Peter Noble,Swindon Town,15,1.0,3.0,19.0
Ken Wagstaff,Hull,18,0.0,0.0,18.0
Ray Hiron,Portsmouth,18,0.0,0.0,18.0
Fred Pickering,Blackpool,17,1.0,0.0,18.0
Rodney Fern,Leicester City,16,0.0,1.0,17.0
Ken Houghton,Hull,16,0.0,0.0,16.0
Gil Reece,Sheffield United,14,0.0,1.0,15.0
Bob Hatton,Carlisle United,13,1.0,1.0,15.0
Don Martin,Blackburn Rovers,13,0.0,2.0,15.0
Chris Balderstone,Carlisle United,12,1.0,1.0,14.0
Barry Endean,Watford,10,3.0,1.0,14.0
Peter King,Cardiff City,10,1.0,0.0,14.0
Phil Summerill,Birmingham City,13,0.0,0.0,13.0
Jim Storrie,Portsmouth / Rotherham,13,0.0,0.0,13.0
Ken Skeen,Oxford United,9,1.0,3.0,13.0
Bert Murray,Birmingham,12,0.0,0.0,12.0
Albert McCann,Portsmouth,12,0.0,0.0,12.0
Tony Currie,Sheffield United,12,0.0,0.0,12.0
Joe Laidlaw,Middlesbrough,11,1.0,0.0,12.0
Roger Hunt,Bolton Wanderers / Liverpool,6+5,0.0,0.0,12.0
John Tudor,Sheffield United,10,2.0,0.0,12.0
Andy Lochhead,Leicester City,6,2.0,4.0,12.0
Ken Foggo,Norwich City,11,0.0,0.0,11.0
Gerry Sharpe,Bristol City,10,0.0,1.0,11.0
John Galley,Bristol City,10,0.0,0.0,10.0
Peter Silverster,Norwich City,10,0.0,0.0,10.0
Nicky Jennings,Portsmouth,10,0.0,0.0,10.0
Don Rogers,Swindon Town,9,1.0,0.0,10.0
Keith Weller,Millwall,9,0.0,1.0,10.0
Hughie McIlmoyle,Middlesbrough / Carlisle United,6+2,0.0,2.0,10.0
