Matrix,Recording date,Title,Accompaniment,Paramount Issue No.,Sandra Lieb Classification,JSP 77933,Document DOCD
1596.0,1923/12,Bad Luck Blues,Lovie Austin Blues Serenaders,12081.0,Twelve-Bar Blues,A,5581.0
1597.0,1923/12,Bo-Weavil Blues,Lovie Austin Blues Serenaders,12080.0,Mixture of Blues and Popular Song Forms,A,5581.0
1598.0,1923/12,Barrel House Blues,Lovie Austin Blues Serenaders,12082.0,Twelve-Bar Blues,A,5581.0
1599.0,1923/12,Those All Night Long Blues,Lovie Austin Blues Serenaders,12081.0,Non-blues,A,5581.0
1608.0,1923/12,Moonshine Blues,Lovie Austin Blues Serenaders,12083.0,Mixture of Blues and Popular Song Forms,A,5581.0
1609.0,1923/12,Last Minute Blues,Lovie Austin Blues Serenaders,12080.0,Twelve-Bar Blues,A,5581.0
1612.0,1923/12,Southern Blues,Lovie Austin Blues Serenaders,12083.0,Twelve-Bar Blues,A,5581.0
1613.0,1923/12,Walking Blues,Lovie Austin Blues Serenaders,12082.0,Twelve-Bar Blues,A,5581.0
1698.0,1924/03,Lost Wandering Blues,Pruit Twins,12098.0,Twelve-Bar Blues,A,5581.0
1699.0,1924/03,Dream Blues,Pruit Twins,12098.0,Twelve-Bar Blues,A,5581.0
1701.0,1924/03,Honey Where You Been So Long?,Lovie Austin Blues Serenaders,12200.0,Non-blues,A,5581.0
1702.0,1924/03,Ya-Da-Do,Her Georgia Jazz Band,12257.0,Non-blues,A,5581.0
1703.0,1924/03,Those Dogs of Mine (Famous Cornfield Blues),Lovie Austin Blues Serenaders,12215.0,Non-blues,A,5581.0
1704.0,1924/03,Lucky Rock Blues,Lovie Austin Blues Serenaders,12215.0,Mixture of Blues and Popular Song Forms,A,5581.0
1741.0,1924/04,South Bound Blues,Her Georgia Jazz Band,12227.0,Non-blues,A,5581.0
1758.0,1924/05,Lawd Send Me A Man Blues,Her Georgia Jazz Band,12227.0,Non-blues,A,5581.0
1759.0,1924/05,Ma Rainey's Mystery Record,Lovie Austin Blues Serenaders,12200.0,Twelve-Bar Blues,A,5581.0
