City,Chinese,Pinyin,Province,Urban Population (2010),Administrative Population (2010)
Shanghai,上海,Shànghǎi,Municipality,22315426.0,23019148.0
Beijing,北京,Běijīng,Municipality,18827000.0,19612368.0
Tianjin,天津,Tiānjīn,Municipality,11090314.0,12937954.0
Guangzhou,广州,Guǎngzhōu,Guangdong,11070654.0,12700800.0
Shenzhen,深圳,Shēnzhèn,Guangdong,10357938.0,10357938.0
Dongguan,东莞,Dōngguǎn,Guangdong,8220937.0,8220937.0
Chengdu,成都,Chéngdū,Sichuan,7123697.0,14047625.0
Nanjing,南京,Nánjīng,Jiangsu,6852984.0,8004680.0
Wuhan,武汉,Wǔhàn,Hubei,6434373.0,9785392.0
Shenyang,沈阳,Shěnyáng,Liaoning,5743718.0,8106171.0
Hangzhou,杭州,Hángzhōu,Zhejiang,5695313.0,8700400.0
Chongqing,重庆,Chóngqìng,Municipality,5402721.0,28846170.0
Suzhou,苏州,Sūzhōu,Jiangsu,5349000.0,10465994.0
Harbin,哈尔滨,Hārbīn,Heilongjiang,5282083.0,10635971.0
Jinan,济南,Jǐnán,Shangdong,3922180.0,6814000.0
Xi'an,西安,Xī'ān,Shaanxi,3890098.0,8467837.0
Wuxi,无锡,Wúxí,Jiangsu,3542319.0,6372624.0
Hefei,合肥,Héféi,Anhui,3352076.0,5702466.0
Changchun,长春,Chángchūn,Jilin,3341700.0,7677089.0
Changzhou,常州,Chángzhōu,Jiangsu,3290548.0,4591972.0
Dalian,大连,Dàlián,Liaoning,3266905.0,6690432.0
Taiyuan,太原,Tàiyuán,Shanxi,3212500.0,4201591.0
Kunming,昆明,Kūnmíng,Yunnan,3184580.0,6432212.0
Zhengzhou,郑州,Zhèngzhōu,Henan,3132000.0,8626505.0
Changsha,长沙,Chángshā,Hunan,3093980.0,7044118.0
Ningbo,宁波,Níngbō,Zhejiang,3089180.0,7605700.0
Qingdao,青岛,Qīngdǎo,Shangdong,3063492.0,8715100.0
Zibo,淄博,Zībó,Shangdong,3002181.0,4530600.0
Fuzhou,福州,Fúzhōu,Fujian,2921763.0,7115370.0
Nanning,南宁,Nánníng,Guangxi,2875220.0,6661600.0
