Round,Pick,Player,Position,School
1.0,3.0,Bruce Pickens,Defensive Back,Nebraska
1.0,13.0,Mike Pritchard,Wide Receiver,Colorado
2.0,33.0,Brett Favre,Quarterback,Southern Mississippi
4.0,87.0,Moe Gardner,Defensive Tackle,Illinois
5.0,114.0,James Goode,Linebacker,Oklahoma
6.0,145.0,Erric Pegram,Running Back,North Texas
7.0,172.0,Brian K. Mitchell,Defensive Back,BYU
7.0,186.0,Mark Tucker,Guard,USC
8.0,199.0,Randy Austin,Tight End,UCLA
9.0,226.0,Ernie Logan,Nose tackle,East Carolina
10.0,256.0,Walter Sutton,Wide Receiver,Southwest Minnesota
11.0,258.0,Pete Lucas,Tackle,Wisconsin–Stevens Point
11.0,283.0,Joe Sims,Tackle,Nebraska
12.0,310.0,Bob Christian,Running Back,Northwestern
