Country,2010,2011,2012,2013
Netherlands,10.0,9.0,9.0,11.0
United Kingdom,8.0,9.0,7.0,8.0
Belgium,9.0,7.0,6.0,6.0
Estonia,6.0,6.0,7.0,6.0
Germany,8.0,6.0,4.0,5.0
France,5.0,3.0,3.0,4.0
Latvia,3.0,3.0,3.0,4.0
Czech Republic,2.0,3.0,3.0,3.0
Sweden,3.0,3.0,3.0,3.0
Switzerland,2.0,1.0,2.0,3.0
Austria,1.0,2.0,0.0,2.0
Lituania,3.0,1.0,2.0,1.0
Russia,5.0,6.0,4.0,0.0
Ukraine,2.0,2.0,1.0,0.0
Finland,2.0,1.0,0.0,0.0
Belarus,0.0,1.0,0.0,0.0
Denmark,1.0,0.0,0.0,0.0
Moldova,1.0,0.0,0.0,0.0
Overall,72.0,63.0,54.0,56.0
