Goal,Date,Venue,Score,Result,Competition
1.0,"March 19, 1960","San José , Costa Rica",3–0,Win,1960 Panamerican Cup
2.0,"June 26, 1960","Mexico City , Mexico",3–1,Win,Friendly
3.0,"November 13, 1960","Mexico City, Mexico",3–0,Win,1962 FIFA World Cup qualification
4.0,"June 7, 1962","Viña del Mar , Chile",3–1,Win,1962 FIFA World Cup
5.0,"March 28, 1963","Santa Ana , El Salvador",8–0,Win,1963 CONCACAF Championship
6.0,"March 28, 1963","Santa Ana, El Salvador",8–0,Win,1963 CONCACAF Championship
7.0,"February 28, 1965","San Pedro Sula , Honduras",1–0,Win,1966 FIFA World Cup qualification
8.0,"March 12, 1965","Mexico City, Mexico",2–0,Win,1966 FIFA World Cup qualification
9.0,"March 28, 1965","Guatemala City , Guatemala",2–0,Win,1965 CONCACAF Championship
10.0,"May 7, 1965","Mexico City, Mexico",8–0,Win,1966 FIFA World Cup qualification
11.0,"May 7, 1965","Mexico City, Mexico",8–0,Win,1966 FIFA World Cup qualification
12.0,"May 7, 1965","Mexico City, Mexico",8–0,Win,1966 FIFA World Cup qualification
13.0,"October 6, 1968","Puebla , Mexico",1–1,Draw,Friendly
14.0,"October 31, 1968","Rio de Janeiro , Brazil",2–1,Win,Friendly
15.0,"February 15, 1970","Mexico City, Mexico",1–1,Draw,Friendly
16.0,"April 22, 1970","Mexico City, Mexico",1–1,Draw,Friendly
17.0,"April 29, 1970","León , Mexico",4–2,Win,Friendly
