Rank,Company,Headquarters,Industry,Sales (billion $),Profits (billion $),Assets (billion $),Market Value (billion $)
1.0,Citigroup,USA,Banking,120.32,24.64,1494.04,230.93
2.0,General Electric,USA,Conglomerate,149.7,16.35,673.3,348.45
3.0,Bank of America,USA,Banking,85.39,16.47,1291.8,184.17
4.0,American International Group,USA,Insurance,106.98,11.9,843.4,172.24
5.0,HSBC,UK,Banking,76.38,12.36,1274.22,193.32
6.0,ExxonMobil,USA,Oil & Gas,328.21,36.13,208.34,362.53
7.0,Royal Dutch Shell,Netherlands,Oil & Gas,306.73,25.31,216.95,203.52
8.0,BP,UK,Oil & Gas,249.47,22.63,206.91,225.93
9.0,JPMorgan Chase,USA,Banking,79.9,8.48,1198.94,144.13
10.0,UBS,Switzerland,Diversified Financials,78.25,10.65,1519.4,105.69
