Position,Driver / Passenger,Equipment,Points,Wins,Second,Third
1.0,Daniël Willemsen / Sven Verbrugge,Zabel - VMC,341.0,13,—,—
2.0,Evgeny Scherbinin / Sergei Sosnovskikh,MTH -APZ,258.0,—,5,3
3.0,Marco Happich / Meinrad Schelbert *,Zabel-VMC,243.0,1,1,2
4.0,Maris Rupeiks / Haralds Kurpnieks,KTM - AYR,231.0,1,4,2
5.0,Jan Hendrickx / Tim Smeuninx,Zabel-VMC,217.0,—,—,1
6.0,Andy Burgler / Martin Betschart,KTM-VMC,211.0,—,2,2
7.0,Joris Hendrickx / Eli Piccart,KTM-AYR,180.0,—,—,1
8.0,Stuart Brown / Luke Peters,Zabel-VMC,165.0,—,—,1
9.0,Vaclav Rozehnal / Marek Rozehnal,Zabel-VMC,157.0,—,—,1
10.0,Marcel Willemsen / Bjorn Roes,Zabel-VMC,137.0,—,—,—
11.0,Josef Brustmann / Stefan Urich,KTM-NPH,117.0,1,—,—
12.0,Janis Daiders / Lauris Daiders,Zabel-VMC,115.0,—,—,—
13.0,Nicky Pulinx / Ludo Somers,KTM-AYR,113.0,—,—,—
14.0,Jarno van den Boomen / Henry van de Wiel,MTH-VMC,100.0,—,1,1
15.0,Carlo van Duijnhoven / Christian Verhagen,MTH-VMC,100.0,—,—,—
16.0,Ueli Müller / Reto Grütter,Zabel-MTH,100.0,—,—,—
17.0,Eric Schrijver / Ramon van Mil,MTH-VMC,93.0,—,—,—
18.0,Tomas Cermak / Ondrej Cermak,JAWA-VMC,68.0,—,—,—
19.0,Kristers Sergis / Kaspars Stupelis,KTM-Mefo,64.0,—,2,1
20.0,John Watson / Mark Watson,Zabel-VMC,57.0,—,—,—
21.0,Bertram Martin / Bruno Kaelin,Zabel-VMC,57.0,—,—,—
22.0,Martin Walter / Andre Saam,Zabel-VMC,54.0,—,—,—
23.0,Henrik Söderqvist / Collin Dunkley,Husaberg -VMC,52.0,—,1,1
24.0,Scott Wilkinson / Gary Burt,Zabel-VMC,52.0,—,—,—
25.0,Kristof Santermans / Patrick Nieuwenhuizen,Yamaha -VMC,47.0,—,—,—
26.0,John Lyne / Michael Turner,Zabel-VMC,26.0,—,—,—
27.0,Laurent Devoldre / Sebastian Devoldre,Husaberg-VMC,20.0,—,—,—
28.0,Thijs Derks / Roy Derks,Husaberg-BSU,17.0,—,—,—
29.0,Michael Poirier / Bertrand Poirier,KTM-VMC,14.0,—,—,—
30.0,Geert Devoldere / Guennady Auvray,Honda -EML,13.0,—,—,—
31.0,Werner Wittmann / Mario Wohlfart,Zabel-AYR,10.0,—,—,—
32.0,Andreas Clohse / Guido Schlabertz,Zabel-VMC,10.0,—,—,—
33.0,Marcel Grondman / Martijn Geerdink,Zabel-VMC,9.0,—,—,—
34.0,Roland Sutter / Sandro Michelleto,KTM-VMC,9.0,—,—,—
35.0,Patrick Fagerberg / Daniel Fagerberg,KTM-AYR,9.0,—,—,—
36.0,Wim Janssen / Henk Roenhorst,Zabel-VMC,8.0,—,—,—
37.0,Maikel Kuster / Wilfried Keuben,Zabel-VMC,8.0,—,—,—
38.0,Johan Smit / Bart Notten,Husaberg-BSU,7.0,—,—,—
39.0,Patrick Greup / Marc van Deutekom,KTM-VMC,7.0,—,—,—
40.0,Imantas Tamuliunas / Egidijus Karaliunas,KTM-AYR,6.0,—,—,—
41.0,Jens Bochmann / Stefan Progscha,Zabel-AYR,6.0,—,—,—
42.0,Jean Marie Ains / Bernard Jayet,Zabel-VMC,5.0,—,—,—
43.0,Baptiste Bigand / Julien Bigand,MTH-BSU,5.0,—,—,—
44.0,Andrus Vaks / Raimo Kaul,KTM-AYR,4.0,—,—,—
45.0,Boudewijn Gommeren / Steve van Tongerlo,KTM-AYR,4.0,—,—,—
46.0,David Keane / Andy Heighes,MTH-VMC,3.0,—,—,—
47.0,David Surcin / Landry Tessier,Zabel-VMC,3.0,—,—,—
48.0,Otomars Skreija / Gastons Skreija,MTH-BSU,2.0,—,—,—
49.0,Herve Boursaud / Edouard Chereau,KTM-VMC,1.0,—,—,—
50.0,Guillaume Martin / Jacques Pilleir,Zabel-VMC,1.0,—,—,—
