Rider,Bike,Laps,Time,Grid
Troy Bayliss,Ducati 1098 F08,22.0,36:46.238,1.0
Noriyuki Haga,Yamaha YZF-R1,22.0,+0.082,2.0
Carlos Checa,Honda CBR1000RR,22.0,+6.336,6.0
Ruben Xaus,Ducati 1098 RS 08,22.0,+7.575,3.0
Max Neukirchner,Suzuki GSX-R1000,22.0,+8.011,5.0
Yukio Kagayama,Suzuki GSX-R1000,22.0,+13.999,7.0
Gregorio Lavilla,Honda CBR1000RR,22.0,+15.215,15.0
Jakub Smrz,Ducati 1098 RS 08,22.0,+16.376,8.0
Makoto Tamada,Kawasaki ZX-10R,22.0,+17.269,10.0
Troy Corser,Yamaha YZF-R1,22.0,+18.380,4.0
Fonsi Nieto,Suzuki GSX-R1000,22.0,+18.926,9.0
Max Biaggi,Ducati 1098 RS 08,22.0,+21.452,18.0
Karl Muggeridge,Honda CBR1000RR,22.0,+23.794,19.0
Roberto Rolfo,Honda CBR1000RR,22.0,+29.847,22.0
Shinichi Nakatomi,Yamaha YZF-R1,22.0,+30.252,17.0
Régis Laconi,Kawasaki ZX-10R,22.0,+31.249,11.0
Sébastien Gimbert,Yamaha YZF-R1,22.0,+31.328,23.0
Ayrton Badovini,Kawasaki ZX-10R,22.0,+39.814,20.0
Kenan Sofuoğlu,Honda CBR1000RR,22.0,+49.956,21.0
Russell Holland,Honda CBR1000RR,22.0,+51.554,24.0
Shuhei Aoyama,Honda CBR1000RR,22.0,+51.642,26.0
Loic Napoleone,Yamaha YZF-R1,22.0,+1:02.682,29.0
Arie Vos,Ducati 1098 RS 08,22.0,+1:02.729,25.0
Michel Fabrizio,Ducati 1098 F08,10.0,Retirement,12.0
Ryuichi Kiyonari,Honda CBR1000RR,8.0,Retirement,13.0
Luca Morelli,Honda CBR1000RR,4.0,Retirement,27.0
