Province,Capital,Population at 2010 Census,Area (km²),Density (2010),Geographical unit,Number of Cities (kota),Number of Regencies (kabupaten),Number of Districts (kecamatan),Villages
Special Region of Aceh,Banda Aceh,4494410.0,57956.0,77.0,Sumatra,5.0,18.0,275.0,6420.0
Bali,Denpasar,3890757.0,5780.0,621.0,Lesser Sunda Islands,1.0,8.0,57.0,698.0
Bangka-Belitung,Pangkal Pinang,1223296.0,16424.0,64.0,Sumatra,1.0,6.0,43.0,361.0
Banten,Serang,10632166.0,9662.0,909.0,Java,4.0,4.0,154.0,1530.0
Bengkulu,Bengkulu,1715518.0,19919.0,84.0,Sumatra,1.0,9.0,116.0,1442.0
Central Java,Semarang,32382657.0,40800.0,894.0,Java,6.0,29.0,573.0,8577.0
Central Kalimantan,Palangkaraya,2212089.0,153564.0,14.0,Kalimantan,1.0,13.0,120.0,1439.0
Central Sulawesi,Palu,2635009.0,61841.0,41.0,Sulawesi,1.0,10.0,147.0,1712.0
East Java,Surabaya,37476757.0,47799.0,828.0,Java,9.0,29.0,662.0,8502.0
East Kalimantan,Samarinda,3026060.0,139462.0,22.0,Kalimantan,3.0,6.0,89.0,1023.0
East Nusa Tenggara,Kupang,4683827.0,48718.0,92.0,Lesser Sunda Islands,1.0,20.0,286.0,2775.0
Gorontalo,Gorontalo,1040164.0,11257.0,94.0,Sulawesi,1.0,5.0,65.0,595.0
Jakarta (Special City District),Jakarta,9607787.0,664.0,12786.0,Java,5.0,1.0,44.0,267.0
Jambi,Jambi,3092265.0,50058.0,57.0,Sumatra,2.0,9.0,128.0,1319.0
Lampung,Bandar Lampung,7608405.0,34623.0,226.0,Sumatra,2.0,12.0,206.0,2358.0
Maluku,Ambon,1533506.0,46914.0,32.0,Maluku Islands,2.0,9.0,76.0,898.0
North Kalimantan,Tanjung Selor,622350.0,71176.0,10.0,Kalimantan,1.0,4.0,47.0,381.0
North Maluku,Sofifi,1038087.0,31982.0,31.0,Maluku Islands,2.0,7.0,109.0,1041.0
North Sulawesi,Manado,2270596.0,13851.0,162.0,Sulawesi,4.0,11.0,150.0,1510.0
North Sumatra,Medan,12982204.0,72981.0,188.0,Sumatra,8.0,25.0,408.0,5649.0
Special Region of Papua,Jayapura,2833381.0,319036.0,8.0,Western New Guinea,1.0,28.0,330.0,3583.0
Riau,Pekanbaru,5538367.0,87023.0,52.0,Sumatra,2.0,10.0,153.0,1500.0
Riau Islands,Tanjung Pinang,1679163.0,8201.0,208.0,Sumatra,2.0,5.0,59.0,331.0
Southeast Sulawesi,Kendari,2232586.0,38067.0,51.0,Sulawesi,2.0,10.0,199.0,1843.0
South Kalimantan,Banjarmasin,3626616.0,38744.0,96.0,Kalimantan,2.0,11.0,151.0,1973.0
South Sulawesi,Makassar,8034776.0,46717.0,151.0,Sulawesi,3.0,26.0,301.0,2874.0
South Sumatra,Palembang,7450394.0,91592.0,86.0,Sumatra,4.0,11.0,217.0,2869.0
West Java,Bandung,43053732.0,35377.0,1176.0,Java,9.0,17.0,625.0,5827.0
West Kalimantan,Pontianak,4395983.0,147307.0,30.0,Kalimantan,2.0,12.0,175.0,1777.0
West Nusa Tenggara,Mataram,4500212.0,18572.0,234.0,Lesser Sunda Islands,2.0,8.0,116.0,913.0
Special Region of West Papua,Manokwari,760422.0,97024.0,8.0,Western New Guinea,1.0,10.0,149.0,1291.0
West Sulawesi,Mamuju,1158651.0,16787.0,73.0,Sulawesi,0.0,5.0,66.0,564.0
West Sumatra,Padang,4846909.0,42012.0,110.0,Sumatra,7.0,12.0,169.0,964.0
Special Region of Yogyakarta,Yogyakarta,3457491.0,3133.0,1138.0,Java,1.0,4.0,78.0,438.0
