Team,Head Coach,City,Stadium,Capacity
VfR Aalen,Rainer Scharinger,Aalen,Städtisches Waldstadion,11183.0
FC Erzgebirge Aue,Heiko Weber,Aue,Erzgebirgsstadion,16350.0
1. FC Union Berlin,Uwe Neuhaus,Berlin,Friedrich-Ludwig-Jahn-Sportpark 1,19708.0
Eintracht Braunschweig,Torsten Lieberknecht,Braunschweig,Eintracht-Stadion,23500.0
SV Werder Bremen II,Thomas Wolter,Bremen,Weserstadion Platz 11,5500.0
SV Wacker Burghausen,Ralf Santelli (interim),Burghausen,Wacker Arena,8400.0
Dynamo Dresden,Ruud Kaiser,Dresden,Rudolf Harbig Stadion,23940.0
Fortuna Düsseldorf,Norbert Meier,Düsseldorf,LTU-Arena,51500.0
Kickers Emden,Stefan Emmerling,Emden,Embdena-Stadion,7200.0
FC Rot-Weiß Erfurt,Henri Fuchs (interim),Erfurt,Steigerwaldstadion,20000.0
FC Carl Zeiss Jena,Marc Fascher,Jena,Ernst-Abbe-Sportfeld,15610.0
FC Bayern Munich II,Mehmet Scholl (interim),Munich,Grünwalder Stadion,10240.0
Kickers Offenbach,Hans-Jürgen Boysen,Offenbach am Main,Bieberer Berg Stadion,31500.0
SC Paderborn 07,André Schubert (interim),Paderborn,Paragon Arena,15300.0
SSV Jahn Regensburg,Markus Weinzierl,Regensburg,Jahnstadion,11800.0
SV Sandhausen,Gerd Dais,Sandhausen,Hardtwaldstadion,11544.0
Stuttgarter Kickers,Rainer Kraft,Stuttgart,GAZi-Stadion auf der Waldau,11436.0
VfB Stuttgart II,Rainer Adrion,Stuttgart,GAZi-Stadion auf der Waldau,11436.0
SpVgg Unterhaching,Ralph Hasenhüttl,Unterhaching,Generali Sportpark,15053.0
Wuppertaler SV Borussia,Uwe Fuchs,Wuppertal,Zoo-Stadion,28000.0
