Round,Pick,Overall,Name,Position,College
1.0,9.0,9.0,Cal Rossi [a ],RB,UCLA
3.0,9.0,24.0,Stan Kozlowski,FB,Holy Cross
5.0,9.0,39.0,Gay Adelt,RB,Utah
6.0,9.0,49.0,Walt Trojanowski,RB,Connecticut
7.0,9.0,59.0,Bob Hendren,OT,Southern California
8.0,9.0,69.0,George Callanan,RB,Southern California
9.0,9.0,79.0,Bob Skoglund,E,Notre Dame
10.0,9.0,89.0,Jake Leicht,HB,Oregon
11.0,9.0,99.0,Chick Maggioli,DB,Illinois
12.0,9.0,109.0,Monte Moncrief,OT,Texas A&M
13.0,9.0,119.0,Joe Tereshinski,DE,Georgia
14.0,9.0,129.0,Stan Sprague,E,Illinois
15.0,9.0,139.0,Harry Adelman,E,Southern California
16.0,9.0,149.0,Bob Butchofsky,RB,Texas A&M
17.0,9.0,159.0,Mike Prashaw,OT,Michigan
18.0,9.0,169.0,Ed Robnett,FB,Texas Tech
19.0,9.0,179.0,LeMar Dykstra,RB,Colorado
20.0,9.0,189.0,Bob Ward,RB,San José State
21.0,9.0,199.0,John Pehar,OT,Southern California
22.0,9.0,209.0,Roger Robinson,DB,Syracuse
23.0,9.0,219.0,Charley Cadenhead,C,Mississippi State
24.0,9.0,229.0,Bob Rados,G,Santa Clara [d ]
25.0,9.0,239.0,Charlie Webb,E,Louisiana State
26.0,9.0,249.0,Marion Flanagan,RB,Texas A&M
27.0,9.0,259.0,Roland Phillips,OT,Georgia Tech
28.0,9.0,269.0,Jim Hallmark,RB,Texas A&M
29.0,9.0,279.0,Fay Mills,OT,Alabama
30.0,9.0,289.0,William Ritter,RB,Georgia Tech
31.0,4.0,294.0,Sarkis Takesian,RB,California
32.0,4.0,299.0,Mike Campbell,E,Mississippi
