Pick,Player,Position,Nationality,Former Team
2.0,Dell Curry,Guard,United States,Cleveland Cavaliers
4.0,Dave Hoppen,Forward,United States,Golden State Warriors
6.0,Tyrone Bogues,Point Guard,United States,Washington Bullets
8.0,Mike Brown,Point Guard,United States,Chicago Bulls
10.0,Rickey Green,Forward,United States,Utah Jazz
12.0,Michael Holton,Forward,United States,Portland Trail Blazers
14.0,Michael Brooks,Small Forward,United States,Denver Nuggets
16.0,Bernard Thompson,Centre,United States,Phoenix Suns
18.0,Ralph Lewis,Guard-Forward,United States,Detroit Pistons
20.0,Clinton Wheeler,Forward,United States,Indiana Pacers
22.0,Sedric Toney,Centre,United States,New York Knicks
