Year,Lijsttrekker,Fractievoorzitter,Cabinet,Chair
1966.0,no elections,none,extra-parliamentary,Hans van Mierlo
1967.0,Hans van Mierlo,Hans van Mierlo,opposition,G. Ringalda
1968.0,no elections,Hans van Mierlo,opposition,H.J. Lookeren-Campagne
1969.0,no elections,Hans van Mierlo,opposition,J.A.P.M. Beekmans
1970.0,no elections,Hans van Mierlo,opposition,J.A.P.M. Beekmans
1971.0,Hans van Mierlo,Hans van Mierlo,opposition,J.A.P.M. Beekmans
1972.0,no elections,Jan Terlouw,Hans Gruijters,R.E. van der Scheer-van Essen
1973.0,no elections,Jan Terlouw,Hans Gruijters,J. ten Brink
1974.0,no elections,Jan Terlouw,Hans Gruijters,J. ten Brink
1975.0,no elections,Jan Terlouw,Hans Gruijters,J. ten Brink
1976.0,no elections,Jan Terlouw,Hans Gruijters,Jan Glastra van Loon
1977.0,Jan Terlouw,Jan Terlouw,opposition,Jan Glastra van Loon
1978.0,no elections,Jan Terlouw,opposition,Jan Glastra van Loon
1979.0,no elections,Jan Terlouw,opposition,Jan Glastra van Loon
1980.0,no elections,Jan Terlouw,opposition,Henk Zeevalking
1981.0,Jan Terlouw,Laurens-Jan Brinkhorst,Jan Terlouw,Henk Zeevalking
1982.0,Jan Terlouw,Maarten Engwirda,opposition,J. Berkom
1983.0,no elections,Maarten Engwirda,opposition,Jacob Kohnstam
1984.0,no elections,Maarten Engwirda,opposition,Jacob Kohnstam
1985.0,no elections,Maarten Engwirda,opposition,Jacob Kohnstam
1986.0,Hans van Mierlo,Hans van Mierlo,opposition,S. van der Loo
1987.0,no elections,Hans van Mierlo,opposition,S. van der Loo
1988.0,no elections,Hans van Mierlo,opposition,S. van der Loo
1989.0,Hans van Mierlo,Hans van Mierlo,opposition,M. de Jager
1990.0,no elections,Hans van Mierlo,opposition,M. de Jager
1991.0,no elections,Hans van Mierlo,opposition,H.J.D. Janssen
1992.0,no elections,Hans van Mierlo,opposition,H.J.D. Janssen
1993.0,no elections,Hans van Mierlo,opposition,W.I.J.M. Vrijhoef
1994.0,Hans van Mierlo,Gerrit-Jan Wolffensperger,Hans van Mierlo,W.I.J.M. Vrijhoef
1995.0,no elections,Gerrit-Jan Wolffensperger,Hans van Mierlo,W.I.J.M. Vrijhoef
1996.0,no elections,Gerrit-Jan Wolffensperger,Hans van Mierlo,W.I.J.M. Vrijhoef
1997.0,no elections,Thom de Graaf,Hans van Mierlo,Tom Kok
1998.0,Els Borst,Thom de Graaf,Els Borst,Tom Kok
1999.0,no elections,Thom de Graaf,Els Borst,Tom Kok
2000.0,no elections,Thom de Graaf,Els Borst,Gerard Schouw
2001.0,no elections,Thom de Graaf,Els Borst,Gerard Schouw
2002.0,Thom de Graaf,Thom de Graaf,opposition,Gerard Schouw
2003.0,Thom de Graaf,Boris Dittrich,Thom de Graaf,Alexander Pechtold
2004.0,no elections,Boris Dittrich,Thom de Graaf,Alexander Pechtold
2005.0,no elections,Boris Dittrich,Laurens-Jan Brinkhorst,Frank Dales
2006.0,Alexander Pechtold,Lousewies van der Laan,Laurens-Jan Brinkhorst,Frank Dales
2007.0,no elections,Alexander Pechtold,opposition,Ingrid van Engelshoven
2008.0,no elections,Alexander Pechtold,opposition,Ingrid van Engelshoven
2009.0,no elections,Alexander Pechtold,opposition,Ingrid van Engelshoven
2010.0,Alexander Pechtold,Alexander Pechtold,opposition,Ingrid van Engelshoven
2011.0,no elections,Alexander Pechtold,opposition,Ingrid van Engelshoven
2012.0,Alexander Pechtold,Alexander Pechtold,opposition,Ingrid van Engelshoven
