Year,Tournament,Surface,Round,Winner,Score,Length,Ivanovic,Jankovic
2005.0,Zürich,Hard (i),R16,Ivanovic,"6–2, 6–1",0:51,1.0,0.0
2006.0,Los Angeles,Hard,QF,Jankovic,"6–4, 7–6 (8–6)",1:37,1.0,1.0
2006.0,Montréal,Hard,R16,Ivanovic,Walkover,N/A,1.0,1.0
2007.0,Tokyo,Carpet (i),QF,Ivanovic,"3–6, 6–4, 6–2",1:42,2.0,1.0
2007.0,Amelia Island,Clay,Final,Ivanovic,"7–5, 6–3",1:28,3.0,1.0
2007.0,Los Angeles,Hard,SF,Ivanovic,"4–6, 6–3, 7–5",2:30,4.0,1.0
2008.0,Indian Wells,Hard,SF,Ivanovic,"7–6 (7–3) , 6–3",1:25,5.0,1.0
2008.0,French Open,Clay,SF,Ivanovic,"6–4, 3–6, 6–4",2:15,6.0,1.0
2008.0,Doha,Hard,Round Robin,Jankovic,"6–3, 6–4",1:29,6.0,2.0
2010.0,Madrid,Clay,R32,Jankovic,"4–6, 6–4, 6–1",1:50,6.0,3.0
2011.0,Indian Wells,Hard,R16,Ivanovic,"6–4, 6–2",1:24,7.0,3.0
2013.0,Melbourne,Hard,R32,Ivanovic,"7–5, 6–3",1:23,8.0,3.0
