Season,Date,Winner,Score [C ],Venue,Competition round [D ]
1928.0,23 September 1928,Universitario,1–0,Stadium Nacional,Torneo Amateur Lima Liguilla
1928.0,21 October 1928,Draw,1–1,Stadium Nacional,Torneo Amateur Lima play-off
1928.0,1 November 1928,Alianza Lima,2–0,Stadium Nacional,Torneo Amateur Lima play-off replay
1930.0,30 November 1930,Draw,1–1,Stadium Nacional,Torneo Amateur Lima Liguilla
1931.0,21 June 1931,Alianza Lima,walkover,Stadium Nacional,Torneo Amateur Lima
1932.0,2 October 1932,Alianza Lima,1–0,Stadium Nacional,Torneo Amateur Lima
1933.0,27 August 1933,Draw,2–2,Stadium Nacional,Torneo Amateur Lima
1934.0,18 November 1934,Alianza Lima,2–1,Stadium Nacional,Torneo Amateur Lima
1934.0,7 July 1935,Universitario,2–1,Stadium Nacional,Torneo Amateur Lima 1934 play-off
1935.0,27 October 1935,Alianza Lima,walkover,Stadium Nacional,Torneo Amateur Lima
1937.0,12 September 1937,Universitario,2–1,Stadium Nacional,Torneo Amateur Lima
1938.0,23 October 1938,Universitario,2–1,Stadium Nacional,Torneo Amateur Lima
1940.0,12 May 1940,Draw,0–0,Stadium Nacional,Torneo Amateur Lima
1940.0,24 September 1940,Universitario,2–0,Stadium Nacional,Torneo Amateur Lima
1941.0,28 September 1941,Draw,0–0,Stadium Nacional,Torneo Amateur Lima
1941.0,12 April 1942,Universitario,3–1,Stadium Nacional,Torneo Amateur Lima
1942.0,21 November 1942,Draw,4–4,Stadium Nacional,Torneo Amateur Lima
1943.0,1 November 1943,Alianza Lima,5–0,Stadium Nacional,Torneo Amateur Lima
1943.0,14 November 1943,Universitario,1–0,Stadium Nacional,Torneo Amateur Lima
1944.0,16 July 1944,Universitario,3–1,Stadium Nacional,Torneo Amateur Lima
1944.0,3 September 1944,Universitario,1–0,Stadium Nacional,Torneo Amateur Lima
1945.0,16 September 1945,Universitario,2–1,Stadium Nacional,Torneo Amateur Lima
1945.0,25 November 1945,Universitario,3–1,Stadium Nacional,Torneo Amateur Lima
1946.0,7 July 1946,Alianza Lima,3–0,Stadium Nacional,Torneo Amateur Lima
1946.0,25 August 1946,Alianza Lima,2–1,Stadium Nacional,Torneo Amateur Lima
1946.0,12 October 1946,Draw,0–0,Stadium Nacional,Torneo Amateur Lima
1947.0,29 June 1947,Alianza Lima,4–3,Stadium Nacional,Torneo Amateur Lima
1947.0,30 August 1947,Alianza Lima,4–0,Stadium Nacional,Torneo Amateur Lima
1947.0,26 October 1947,Universitario,2–1,Stadium Nacional,Torneo Amateur Lima
1948.0,12 June 1948,Universitario,3–2,Stadium Nacional,Torneo Amateur Lima
1948.0,12 September 1948,Alianza Lima,1–0,Stadium Nacional,Torneo Amateur Lima
1948.0,21 November 1948,Alianza Lima,5–2,Stadium Nacional,Torneo Amateur Lima
1949.0,3 July 1949,Alianza Lima,5–0,Stadium Nacional,Torneo Amateur Lima
1949.0,4 September 1949,Universitario,2–1,Stadium Nacional,Torneo Amateur Lima
1949.0,13 November 1949,Universitario,3–1,Stadium Nacional,Torneo Amateur Lima
1950.0,17 September 1950,Alianza Lima,3–1,Stadium Nacional,Torneo Amateur Lima
1950.0,26 November 1950,Alianza Lima,2–1,Stadium Nacional,Torneo Amateur Lima
