Game,March,Opponent,Score,Record
61.0,2.0,Philadelphia Flyers,4 - 0,31-19-11
62.0,3.0,Chicago Black Hawks,4 - 0,32-19-11
63.0,6.0,Detroit Red Wings,6 - 1,33-19-11
64.0,9.0,@ Minnesota North Stars,1 - 1,33-19-12
65.0,10.0,Los Angeles Kings,4 - 3,33-20-12
66.0,13.0,Boston Bruins,2 - 1,33-21-12
67.0,14.0,@ Montreal Canadiens,3 - 1,33-22-12
68.0,17.0,Pittsburgh Penguins,3 - 0,34-22-12
69.0,20.0,@ Chicago Black Hawks,5 - 3,35-22-12
70.0,23.0,@ Toronto Maple Leafs,3 - 1,35-23-12
71.0,24.0,Toronto Maple Leafs,4 - 2,36-23-12
72.0,28.0,@ Boston Bruins,5 - 4,37-23-12
73.0,30.0,@ Detroit Red Wings,3 - 1,38-23-12
74.0,31.0,Montreal Canadiens,4 - 2,39-23-12
