Game,November,Opponent,Score,Record
10.0,1.0,Chicago Black Hawks,5 - 2,7-2-1
11.0,4.0,@ California Golden Seals,3 - 1,7-3-1
12.0,7.0,@ Los Angeles Kings,6 - 2,8-3-1
13.0,11.0,Pittsburgh Penguins,3 - 3,8-3-2
14.0,14.0,@ Chicago Black Hawks,2 - 1,8-4-2
15.0,15.0,Toronto Maple Leafs,4 - 2,9-4-2
16.0,18.0,@ Los Angeles Kings,5 - 3,10-4-2
17.0,21.0,@ Montreal Canadiens,5 - 4,11-4-2
18.0,22.0,Minnesota North Stars,2 - 0,12-4-2
19.0,25.0,@ Philadelphia Flyers,3 - 1,12-5-2
20.0,26.0,@ Buffalo Sabres,2 - 2,12-5-3
21.0,28.0,Boston Bruins,3 - 3,12-5-4
22.0,29.0,Pittsburgh Penguins,6 - 2,13-5-4
