Game,March,Opponent,Score,Decision,Record
65.0,5.0,@ New York Islanders,4 - 2,Lundqvist,33-24-8
66.0,8.0,Boston Bruins,4 - 3,Lundqvist,34-24-8
67.0,9.0,@ Carolina Hurricanes,3 - 0,Valiquette,34-25-8
68.0,12.0,@ Nashville Predators,4 - 2,Lundqvist,35-25-8
69.0,14.0,@ Philadelphia Flyers,4 - 2,Lundqvist,35-26-8
70.0,15.0,Philadelphia Flyers,4 - 1,Lundqvist,36-26-8
71.0,17.0,@ Montreal Canadiens,4 - 3 SO,Lundqvist,37-26-8
72.0,21.0,Buffalo Sabres,5 - 3,Lundqvist,38-26-8
73.0,22.0,Ottawa Senators,2 - 1,Lundqvist,38-27-8
74.0,24.0,Minnesota Wild,2 - 1,Lundqvist,39-27-8
75.0,26.0,@ Atlanta Thrashers,5 - 4 SO,Valiquette,39-27-9
76.0,28.0,@ Pittsburgh Penguins,4 - 3,Lundqvist,39-28-9
77.0,30.0,New Jersey Devils,3 - 0,Lundqvist,40-28-9
