Round,Pick #,Player,Position,College
1.0,5.0,Terry Miller,Running back,Oklahoma State
2.0,33.0,Dee Hardison,Defensive end,North Carolina
2.0,38.0,Scott Hutchinson,Defensive end,Florida
3.0,59.0,Dennis Johnson,Running back,Mississippi State
3.0,65.0,Danny Fulton,Wide receiver,Nebraska-Omaha
4.0,89.0,Lucius Sanford,Linebacker,Georgia Tech
5.0,114.0,Ken Spaeth,Tight end,Nebraska
6.0,145.0,Eric Smith,Tackle,Southern Mississippi
7.0,171.0,Mario Celotto,Linebacker,USC
7.0,183.0,Steve Powell,Running back,N.E. Missouri State
10.0,255.0,Will Grant,Center,Kentucky
11.0,282.0,Jerry Blanton,Linebacker,Kentucky
12.0,309.0,Richard Crump,Running back,N.E. Oklahoma A&M
