Rank,Airport,Location,2011,2010,2009
1.0,Sydney Airport,"Sydney , New South Wales",310918.0,304938.0,287480.0
2.0,Moorabbin Airport,"Melbourne , Victoria",274082.0,252218.0,310550.0
3.0,Jandakot Airport,"Perth , Western Australia",265802.0,295516.0,358750.0
4.0,Bankstown Airport,"Sydney , New South Wales",243126.0,275978.0,347266.0
5.0,Parafield Airport,"Adelaide , South Australia",206952.0,228290.0,243522.0
6.0,Melbourne Airport,"Melbourne , Victoria",206284.0,205202.0,191864.0
7.0,Brisbane Airport,"Brisbane , Queensland",198996.0,187956.0,179242.0
8.0,Perth Airport,"Perth , Western Australia",136504.0,124640.0,118704.0
9.0,Archerfield Airport,"Brisbane , Queensland",119312.0,118354.0,132094.0
10.0,Camden Airport,"Sydney , New South Wales",104510.0,84132.0,36766.0
11.0,Adelaide Airport,"Adelaide , South Australia",101478.0,101560.0,99950.0
12.0,Gold Coast Airport,"Gold Coast , Queensland",91204.0,107030.0,133290.0
