Player,Round,Pick,Position,NFL Club
John Brockington,1.0,9.0,Running Back,Green Bay Packers
Jack Tatum,1.0,19.0,Defensive Back,Oakland Raiders
William Anderson,1.0,23.0,Defensive Back,San Francisco 49ers
Leo Hayden,1.0,24.0,Running Back,Minnesota Vikings
Jan White,2.0,29.0,Tight End,Buffalo Bills
Jim Stillwagon,5.0,124.0,Linebacker,Green Bay Packers
Doug Adams,7.0,165.0,Linebacker,Denver Broncos
Mike Sensibaugh,8.0,191.0,Defensive Back,Kansas City Chiefs
Larry Zelina,8.0,196.0,Running Back,Cleveland Browns
Bruce Jankowski,10.0,250.0,Wide Receiver,Kansas City Chiefs
Rex Kern,10.0,260.0,Defensive Back,Baltimore Colts
Ron Maciejowski,15.0,376.0,Quarterback,Chicago Bears
Mark Debevc,16.0,405.0,Linebacker,Cincinnati Bengals
