Year,Film,Song,Composer,Language
2009.0,Magadheera,Panchadara Bomma,M. M. Keeravani,Telugu
2009.0,Pravarakhyudu,Emaipoyano (O My Love),M. M. Keeravani,Telugu
2010.0,Young India,Young India,M. M. Keeravani,Telugu
2010.0,Vedam,Prapancham Naaventosthunte,M. M. Keeravani,Telugu
2010.0,Bheemili Kabaddi Jattu,Nidadholu Pilla (Jathara Song),V. Selvaganesh,Telugu
2010.0,Badmash,Ninna Monna,Vandemataram Srinivas,Telugu
2010.0,Jhummandi Naadam,Yem Sakkagunavro,M. M. Keeravani,Telugu
2010.0,Adi Nuvve Ra Anuja,Nuvvantene Ishtam,Jeevan Thomas,Telugu
2010.0,Graduate,Ninnala Nenu Lenu,Sandeep,Telugu
2010.0,26 Kingston,Nee Vallu Jadalo,Vishnu,Telugu
2011.0,Anaganaga O Dheerudu,Ninnu Chudani,M. M. Keeravani,Telugu
2011.0,Prema Kavali,Listen To My Heart,Anoop Rubens,Telugu
2011.0,ATM,Nuvve Nuvve,Sukumar,Telugu
2011.0,Badrinaath,Ambadari (Remix),M. M. Keeravani,Telugu
2011.0,Brahmigaadi Katha,Cheppaleni Maatayedho,Koti,Telugu
2012.0,SMS (Shiva Manasulo Shruti),"""Chikki Chikki Baby",V. Selvaganesh,Telugu
2012.0,Eega,Lava Lava,M. M. Keeravani,Telugu
2012.0,Telugabbayi,Churakathilanti,Mejo Joseph,Telugu
2012.0,Makkhi,Thoda Hans Ke,MM Kreem,Hindi
2012.0,Makkhi,Lava Lava,MM Kreem,Hindi
