Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Córdoba CF,30.0,40.0,16.0,8.0,6.0,48.0,22.0,26.0
2.0,CD Málaga,30.0,38.0,14.0,10.0,6.0,52.0,36.0,16.0
3.0,Granada CF,30.0,36.0,15.0,6.0,9.0,48.0,34.0,14.0
4.0,UD Las Palmas,30.0,35.0,15.0,5.0,10.0,47.0,39.0,8.0
5.0,Recreativo de Huelva,30.0,33.0,13.0,7.0,10.0,43.0,42.0,1.0
6.0,Levante UD,30.0,32.0,14.0,4.0,12.0,49.0,42.0,7.0
7.0,Hércules CF,30.0,32.0,14.0,4.0,12.0,55.0,46.0,9.0
8.0,Real Murcia,30.0,31.0,12.0,7.0,11.0,40.0,35.0,5.0
9.0,Real Jaén,30.0,31.0,14.0,3.0,13.0,58.0,42.0,16.0
10.0,Cádiz CF,30.0,28.0,12.0,4.0,14.0,43.0,52.0,-9.0
11.0,CD Cartagena,30.0,28.0,13.0,2.0,15.0,45.0,56.0,-11.0
12.0,CD Mestalla,30.0,27.0,11.0,5.0,14.0,50.0,49.0,1.0
13.0,Albacete Balompié,30.0,27.0,10.0,7.0,13.0,27.0,32.0,-5.0
14.0,CD San Fernando,30.0,27.0,11.0,5.0,14.0,37.0,47.0,-10.0
15.0,Atlético Ceuta,30.0,23.0,8.0,7.0,15.0,33.0,48.0,-15.0
16.0,CD Villarrobledo,30.0,12.0,4.0,4.0,22.0,26.0,79.0,-53.0
