Rank,Family,Abbre­viation,Constellation,Area (sq.deg.),Area (msr),Per­cent­age,Right ascension (hm),Decli­nation (dm),Quad
1.0,Her,Hya,Hydra,1302.844,396.869,3.16%,1136.73,−1431.91,SQ2
2.0,Zod,Vir,Virgo,1294.428,394.305,3.14%,1324.39,−0409.51,SQ3
3.0,Urs,UMa,Ursa Major,1279.66,389.807,3.10%,1118.76,+5043.27,NQ2
4.0,Per,Cet,Cetus,1231.411,375.109,2.99%,140.1,−0710.76,SQ1
5.0,Her,Her,Hercules,1225.148,373.201,2.97%,1723.16,+2729.93,NQ3
6.0,Wat,Eri,Eridanus,1137.919,346.63,2.76%,318.02,−2845.37,SQ1
7.0,Per,Peg,Pegasus,1120.794,341.413,2.72%,2241.84,+1927.98,NQ4
8.0,Urs,Dra,Draco,1082.952,329.886,2.63%,1508.64,+6700.40,NQ3
9.0,Her,Cen,Centaurus,1060.422,323.023,2.57%,1304.27,−4720.72,SQ3
10.0,Zod,Aqr,Aquarius,979.854,298.481,2.38%,2217.38,−1047.35,SQ4
11.0,Her,Oph,Ophiuchus,948.34,288.881,2.30%,1723.69,−0754.74,SQ3
12.0,Zod,Leo,Leo,946.964,288.462,2.30%,1040.03,+1308.32,NQ2
13.0,Urs,Boo,Boötes,906.831,276.237,2.20%,1442.64,+3112.16,NQ3
14.0,Zod,Psc,Pisces,889.417,270.932,2.16%,28.97,+1341.23,NQ1
15.0,Zod,Sgr,Sagittarius,867.432,264.235,2.10%,1905.94,−2828.61,SQ4
16.0,Her,Cyg,Cygnus,803.983,244.907,1.95%,2035.28,+4432.70,NQ4
17.0,Zod,Tau,Taurus,797.249,242.856,1.93%,442.13,+1452.63,NQ1
18.0,Urs,Cam,Camelopardalis,756.828,230.543,1.83%,851.37,+6922.89,NQ2
19.0,Per,And,Andromeda,722.278,220.018,1.75%,48.46,+3725.91,NQ1
20.0,Wat,Pup,Puppis,673.434,205.14,1.63%,715.48,−3110.64,SQ2
21.0,Per,Aur,Auriga,657.438,200.267,1.59%,604.42,+4201.68,NQ2
22.0,Her,Aql,Aquila,652.473,198.755,1.58%,1940.02,+0324.65,NQ4
23.0,Her,Ser,Serpens,636.928,194.019,1.54%,1657.04,+0607.32,NQ3
24.0,Per,Per,Perseus,614.997,187.339,1.49%,310.5,+4500.79,NQ1
25.0,Per,Cas,Cassiopeia,598.407,182.285,1.45%,119.16,+6211.04,NQ1
26.0,Ori,Ori,Orion,594.12,180.979,1.44%,534.59,+0556.94,NQ1
