Draw,Artist,Song,Jury,Televote,Total,Place
1.0,Lowry,"""You Ain't What I Need""",6.0,8.0,14.0,4.0
2.0,Janne Saar,"""I Am Too Good For You""",8.0,4.0,12.0,5.0
3.0,StereoChemistry,"""Öösiti kõndides""",2.0,1.0,3.0,10.0
4.0,Urban Symphony,""" Rändajad """,10.0,9.0,19.0,1.0
5.0,Chalice & Maagiline kuues,"""Nelikümmend""",3.0,5.0,8.0,7.0
6.0,Köök & Kaire Vilgats,"""Üürnik""",4.0,2.0,6.0,9.0
7.0,Rolf Junior,"""Freedom""",1.0,6.0,7.0,8.0
8.0,Traffic,"""See päev""",9.0,7.0,16.0,2.0
9.0,Ithaka Maria,"""One Last Dance""",7.0,3.0,10.0,6.0
10.0,Laura,"""Destiny""",5.0,10.0,15.0,3.0
