Date,Ship,Nationality,Tonnage,Fate
29 June 1941,George J. Goulandris,Greece,4345.0,Sunk
29 June 1941,Kalypso Vergotti,Greece,5686.0,Sunk
30 June 1941,Saint Aslem,United Kingdom,5614.0,Sunk
19 July 1941,Holmside,United Kingdom,3433.0,Sunk
26 July 1941,I. C. White,Panama,7052.0,Sunk
18 January 1942,Allan Jackson,USA,6635.0,Sunk
19 January 1942,Lady Hawkins,Canada,7988.0,Sunk
22 January 1942,Olympic,Panama,5335.0,Sunk
24 January 1942,Empire Gem,United Kingdom,8139.0,Sunk
24 January 1942,Venore,USA,8017.0,Sunk
14 April 1942,Korthion,Greece,2116.0,Sunk
16 April 1942,Amsterdam,Netherlands,7329.0,Sunk
17 April 1942,Heinrich von Riedemann,Panama,11020.0,Sunk
26 April 1942,Alcoa Partner,USA,5513.0,Sunk
29 April 1942,Harry G. Siedel,Panama,10354.0,Sunk
2 May 1942,Sandar,Norway,7624.0,Sunk
3 May 1942,Geo. W. McNight,United Kingdom,12502.0,Damaged
