Team,Average,Points,Played,1988-89,1989-90,1990-1991
Boca Juniors,1.254,143.0,114.0,49,43,51.0
River Plate,1.254,143.0,114.0,45,53,45.0
Independiente,1.237,141.0,114.0,55,46,40.0
San Lorenzo,1.07,122.0,114.0,42,35,45.0
Racing Club,1.061,121.0,114.0,42,39,40.0
Vélez Sársfield,1.053,120.0,114.0,33,42,45.0
Huracán,1.053,40.0,38.0,N/A,N/A,40.0
Newell's Old Boys,1.044,119.0,114.0,35,36,48.0
Rosario Central,1.035,118.0,114.0,36,43,39.0
Argentinos Juniors,1.018,116.0,114.0,42,38,36.0
Estudiantes de La Plata,1.009,115.0,114.0,42,34,39.0
Talleres de Córdoba,0.956,109.0,114.0,44,36,29.0
Gimnasia de La Plata,0.947,108.0,114.0,36,39,33.0
Ferro Carril Oeste,0.939,107.0,114.0,30,39,38.0
Deportivo Mandiyú,0.939,107.0,114.0,33,36,38.0
Deportivo Español,0.921,105.0,114.0,46,31,28.0
Platense,0.912,104.0,114.0,33,36,35.0
Unión de Santa Fe,0.882,67.0,76.0,N/A,36,31.0
Chaco For Ever,0.789,60.0,76.0,N/A,32,28.0
Lanús,0.763,29.0,38.0,N/A,N/A,29.0
